Peptoclostridium sp.	64754588
(f)Prevotellaceae sp.	49026909
Fusobacterium sp.	30663919
Faecalibacterium sp.	22867437
Blautia sp.	22522236
(o)Fusobacteriales sp.	21419278
Clostridium disporicum	14186904
Bacteroides massiliensis	13067107
Bacteroides vulgatus	5004807
(f)Fusobacteriaceae sp.	9379353
(f)Lachnospiraceae sp.	9311997
Bacteroides sp.	9244641
Blautia hansenii	5036561
Anaerotruncus sp.	8242717
Collinsella intestinalis	7779643
Intestinibacter sp.	7005046
(o)Clostridiales sp.	6617748
Sutterella wadsworthensis	6533553
Catenibacterium mitsuokai	6525134
Sutterella stercoricanis-wadsworthensis	6508294
(c)Negativicutes sp.	6356743
(f)Ruminococcaceae sp.	6003122
Holdemanella biformis	4622320
Blautia glucerasea	3923499
Cellulosilyticum sp.	3814046
(o)Burkholderiales sp.	3291868
Lachnoclostridium sp.	3089966
Sutterella stercoricanis	2972093
Pseudomonas aeruginosa	2165673
Turicibacter sanguinis	2761605
Peptococcus sp.	2702668
Clostridium perfringens	742602
Collinsella stercoris	2121720
Thalassospira sp.	1675486
Collinsella tanakaei	1566032
Parabacteroides distasonis	667548
Collinsella phocaeensis	1532354
Prevotella copri	1507095
Desulfovibrio piger	555688
Slackia piriformis	1262929
Erysipelatoclostridium sp.	1254509
(f)Peptostreptococcaceae sp.	1094538
Terrisporobacter sp.	968245
Romboutsia sp.	791435
Clostridium colicanis	766177
Bacteroides finegoldii	740918
Tyzzerella sp.	656723
(f)Selenomonadaceae sp.	639884
(f)Sutterellaceae sp.	572527
(c)Erysipelotrichia sp.	555688
Romboutsia lituseburensis	479913
Oscillospira sp.	437815
(f)Family XIII sp.	370459
Bacteroides stercoris	345200
Parabacteroides merdae	345200
Bacteroides fragilis	151551
Alistipes putredinis	303102
(f)Christensenellaceae sp.	303102
(f)Clostridiaceae sp.	286263
Megamonas sp.	286263
Agathobaculum desmolans	277844
Clostridium sp.	261005
Collinsella aerofaciens	101034
Alistipes shahii	168390
(o)Selenomonadales sp.	168390
Bacteroides xylanisolvens	159971
Lachnospira sp.	159971
Flavonifractor plautii	227327
(o)Eggerthellales sp.	143131
(c)Bacteroidia sp.	143131
Fournierella massiliensis	143131
(f)Erysipelotrichaceae sp.	109453
(c)Clostridia sp.	92614
Gallibacterium sp.	92614
