Peptoclostridium sp.	16.49
(f)Prevotellaceae sp.	12.48
Fusobacterium sp.	7.8
Faecalibacterium sp.	5.82
Blautia sp.	5.73
(o)Fusobacteriales sp.	5.45
Clostridium disporicum	3.61
Bacteroides massiliensis	3.32
Bacteroides vulgatus	1.27
(f)Fusobacteriaceae sp.	2.38
(f)Lachnospiraceae sp.	2.37
Bacteroides sp.	2.35
Blautia hansenii	1.28
Anaerotruncus sp.	2.09
Collinsella intestinalis	1.98
Intestinibacter sp.	1.78
(o)Clostridiales sp.	1.68
Sutterella wadsworthensis	1.66
Catenibacterium mitsuokai	1.66
Sutterella stercoricanis-wadsworthensis	1.65
(c)Negativicutes sp.	1.61
(f)Ruminococcaceae sp.	1.52
Holdemanella biformis	1.17
Blautia glucerasea	0.99
Cellulosilyticum sp.	0.97
(o)Burkholderiales sp.	0.83
Lachnoclostridium sp.	0.78
Sutterella stercoricanis	0.75
Pseudomonas aeruginosa	0.55
Turicibacter sanguinis	0.7
Peptococcus sp.	0.68
Clostridium perfringens	0.18
Collinsella stercoris	0.54
Thalassospira sp.	0.42
Collinsella tanakaei	0.39
Parabacteroides distasonis	0.17
Collinsella phocaeensis	0.39
Prevotella copri	0.38
Desulfovibrio piger	0.14
Slackia piriformis	0.32
Erysipelatoclostridium sp.	0.31
(f)Peptostreptococcaceae sp.	0.27
Terrisporobacter sp.	0.24
Romboutsia sp.	0.2
Clostridium colicanis	0.19
Bacteroides finegoldii	0.18
Tyzzerella sp.	0.16
(f)Selenomonadaceae sp.	0.16
(f)Sutterellaceae sp.	0.14
(c)Erysipelotrichia sp.	0.14
Romboutsia lituseburensis	0.12
Oscillospira sp.	0.11
(f)Family XIII sp.	0.09
Bacteroides stercoris	0.08
Parabacteroides merdae	0.08
Bacteroides fragilis	0.03
Alistipes putredinis	0.07
(f)Christensenellaceae sp.	0.07
(f)Clostridiaceae sp.	0.07
Megamonas sp.	0.07
Agathobaculum desmolans	0.07
Clostridium sp.	0.06
Collinsella aerofaciens	0.02
Alistipes shahii	0.04
(o)Selenomonadales sp.	0.04
Bacteroides xylanisolvens	0.04
Lachnospira sp.	0.04
Flavonifractor plautii	0.05
(o)Eggerthellales sp.	0.03
(c)Bacteroidia sp.	0.03
Fournierella massiliensis	0.03
(f)Erysipelotrichaceae sp.	0.02
(c)Clostridia sp.	0.02
Gallibacterium sp.	0.02
