###########   reaction c   ###########
AMR_genes	assigned_to	Peptoclostridium sp. | 194263764	(f)Prevotellaceae sp. | 147080729	Fusobacterium sp. | 91991759	Faecalibacterium sp. | 68602311	Blautia sp. | 67566709	(o)Fusobacteriales sp. | 64257835	Clostridium disporicum | 42560712	Bacteroides massiliensis | 39201321	Bacteroides vulgatus | 35033655	(f)Fusobacteriaceae sp. | 28138061	(f)Lachnospiraceae sp. | 27935991	Bacteroides sp. | 27733924	Blautia hansenii | 25182807	Anaerotruncus sp. | 24728152	Collinsella intestinalis | 23338930	Intestinibacter sp. | 21015140	(o)Clostridiales sp. | 19853246	Sutterella wadsworthensis | 19600660	Catenibacterium mitsuokai | 19575402	Sutterella stercoricanis-wadsworthensis | 19524884	(c)Negativicutes sp. | 19070230	(f)Ruminococcaceae sp. | 18009367	Holdemanella biformis | 13866962	Blautia glucerasea | 11770499	Cellulosilyticum sp. | 11442138	(o)Burkholderiales sp. | 9875606	Lachnoclostridium sp. | 9269898	Sutterella stercoricanis | 8916279	Pseudomonas aeruginosa | 8662694	Turicibacter sanguinis | 8284815	Peptococcus sp. | 8108005	Clostridium perfringens | 7426023	Collinsella stercoris | 6365162	Thalassospira sp. | 5026458	Collinsella tanakaei | 4698096	Parabacteroides distasonis | 4672837	Collinsella phocaeensis | 4597062	Prevotella copri | 4521286	Desulfovibrio piger | 3889821	Slackia piriformis | 3788787	Erysipelatoclostridium sp. | 3763528	(f)Peptostreptococcaceae sp. | 3283615	Terrisporobacter sp. | 2904737	Romboutsia sp. | 2374306	Clostridium colicanis | 2298531	Bacteroides finegoldii | 2222755	Tyzzerella sp. | 1970169	(f)Selenomonadaceae sp. | 1919652	(f)Sutterellaceae sp. | 1717583	(c)Erysipelotrichia sp. | 1667066	Romboutsia lituseburensis | 1439739	Oscillospira sp. | 1313445	(f)Family XIII sp. | 1111377	Bacteroides stercoris | 1035601	Parabacteroides merdae | 1035601	Bacteroides fragilis | 909308	Alistipes putredinis | 909308	(f)Christensenellaceae sp. | 909308	(f)Clostridiaceae sp. | 858791	Megamonas sp. | 858791	Agathobaculum desmolans | 833533	Clostridium sp. | 783016	Collinsella aerofaciens | 505171	Alistipes shahii | 505171	(o)Selenomonadales sp. | 505171	Bacteroides xylanisolvens | 479913	Lachnospira sp. | 479913	Flavonifractor plautii | 454654	(o)Eggerthellales sp. | 429395	(c)Bacteroidia sp. | 429395	Fournierella massiliensis | 429395	(f)Erysipelotrichaceae sp. | 328361	(c)Clostridia sp. | 277844	Gallibacterium sp. | 277844
ermB resistant | 1394581	Faecalibacterium sp. | Blautia sp. | Clostridium sp. | Holdemanella biformis | Anaerotruncus sp. | Lachnoclostridium sp. | Bacteroides stercoris				0.54545 | 11	0.4375 | 48							0.0101 | 99		0.16667 | 6									0.33333 | 6				0.07692 | 13					0.0099 | 101															0.5 | 2							0.07407 | 27		0.02817 | 142						0.34524 | 168												
###########   reaction d   ###########
AMR_genes	assigned_to	Peptoclostridium sp. | 194263764	(f)Prevotellaceae sp. | 147080729	Fusobacterium sp. | 91991759	Faecalibacterium sp. | 68602311	Blautia sp. | 67566709	(o)Fusobacteriales sp. | 64257835	Clostridium disporicum | 42560712	Bacteroides massiliensis | 39201321	Bacteroides vulgatus | 35033655	(f)Fusobacteriaceae sp. | 28138061	(f)Lachnospiraceae sp. | 27935991	Bacteroides sp. | 27733924	Blautia hansenii | 25182807	Anaerotruncus sp. | 24728152	Collinsella intestinalis | 23338930	Intestinibacter sp. | 21015140	(o)Clostridiales sp. | 19853246	Sutterella wadsworthensis | 19600660	Catenibacterium mitsuokai | 19575402	Sutterella stercoricanis-wadsworthensis | 19524884	(c)Negativicutes sp. | 19070230	(f)Ruminococcaceae sp. | 18009367	Holdemanella biformis | 13866962	Blautia glucerasea | 11770499	Cellulosilyticum sp. | 11442138	(o)Burkholderiales sp. | 9875606	Lachnoclostridium sp. | 9269898	Sutterella stercoricanis | 8916279	Pseudomonas aeruginosa | 8662694	Turicibacter sanguinis | 8284815	Peptococcus sp. | 8108005	Clostridium perfringens | 7426023	Collinsella stercoris | 6365162	Thalassospira sp. | 5026458	Collinsella tanakaei | 4698096	Parabacteroides distasonis | 4672837	Collinsella phocaeensis | 4597062	Prevotella copri | 4521286	Desulfovibrio piger | 3889821	Slackia piriformis | 3788787	Erysipelatoclostridium sp. | 3763528	(f)Peptostreptococcaceae sp. | 3283615	Terrisporobacter sp. | 2904737	Romboutsia sp. | 2374306	Clostridium colicanis | 2298531	Bacteroides finegoldii | 2222755	Tyzzerella sp. | 1970169	(f)Selenomonadaceae sp. | 1919652	(f)Sutterellaceae sp. | 1717583	(c)Erysipelotrichia sp. | 1667066	Romboutsia lituseburensis | 1439739	Oscillospira sp. | 1313445	(f)Family XIII sp. | 1111377	Bacteroides stercoris | 1035601	Parabacteroides merdae | 1035601	Bacteroides fragilis | 909308	Alistipes putredinis | 909308	(f)Christensenellaceae sp. | 909308	(f)Clostridiaceae sp. | 858791	Megamonas sp. | 858791	Agathobaculum desmolans | 833533	Clostridium sp. | 783016	Collinsella aerofaciens | 505171	Alistipes shahii | 505171	(o)Selenomonadales sp. | 505171	Bacteroides xylanisolvens | 479913	Lachnospira sp. | 479913	Flavonifractor plautii | 454654	(o)Eggerthellales sp. | 429395	(c)Bacteroidia sp. | 429395	Fournierella massiliensis | 429395	(f)Erysipelotrichaceae sp. | 328361	(c)Clostridia sp. | 277844	Gallibacterium sp. | 277844
aph3IIIa resistant | 1161116	Faecalibacterium sp. | Bacteroides xylanisolvens | Blautia sp. | Bacteroides vulgatus | Bacteroides sp.				0.09091 | 11	0.04167 | 48				0.02667 | 75			0.0101 | 99																																												0.00704 | 142										0.0625 | 16								
tetWNW resistant | 637177	Blautia sp. | Anaerotruncus sp. | Faecalibacterium sp. | Lachnoclostridium sp. | Clostridium sp. | Flavonifractor plautii | Collinsella aerofaciens | Parabacteroides distasonis | Holdemanella biformis | Parabacteroides merdae | Bacteroides sp. | Fusobacterium sp.	1.0 | 1		0.09091 | 11	0.63636 | 11	0.79167 | 48				0.06667 | 75			0.14141 | 99	1.0 | 2	0.66667 | 6									0.16667 | 6				0.61538 | 13		0.00095 | 3165	0.2 | 5		0.0198 | 101			0.5 | 2	0.23684 | 38					0.66667 | 3				0.5 | 2									0.03704 | 27	0.15789 | 19	0.04225 | 142				1.0 | 1	1.0 | 1	0.45833 | 168	0.33333 | 6			0.0625 | 16		0.42857 | 7			1.0 | 1			
aac6Ie resistant | 73465	Blautia sp. | Clostridium sp.					0.14583 | 48							0.0101 | 99																	0.00032 | 3165			0.0099 | 101																														0.05952 | 168												
lnuA resistant | 1570	Holdemanella biformis																							1.0 | 6																																																			
msrD resistant | 1266	Bacteroides xylanisolvens | Bacteroides sp. | Bacteroides fragilis												0.0202 | 99																																												0.01408 | 142										0.0625 | 16								
###########   reaction k   ###########
