###########   reaction c   ###########
Antibiotics	Peptoclostridium sp.	(f)Prevotellaceae sp.	Fusobacterium sp.	Faecalibacterium sp.	Blautia sp.	(o)Fusobacteriales sp.	Clostridium disporicum	Bacteroides massiliensis	Bacteroides vulgatus	(f)Fusobacteriaceae sp.	(f)Lachnospiraceae sp.	Bacteroides sp.	Blautia hansenii	Anaerotruncus sp.	Collinsella intestinalis	Intestinibacter sp.	(o)Clostridiales sp.	Sutterella wadsworthensis	Catenibacterium mitsuokai	Sutterella stercoricanis-wadsworthensis	(c)Negativicutes sp.	(f)Ruminococcaceae sp.	Holdemanella biformis	Blautia glucerasea	Cellulosilyticum sp.	(o)Burkholderiales sp.	Lachnoclostridium sp.	Sutterella stercoricanis	Pseudomonas aeruginosa	Turicibacter sanguinis	Peptococcus sp.	Clostridium perfringens	Collinsella stercoris	Thalassospira sp.	Collinsella tanakaei	Parabacteroides distasonis	Collinsella phocaeensis	Prevotella copri	Desulfovibrio piger	Slackia piriformis	Erysipelatoclostridium sp.	(f)Peptostreptococcaceae sp.	Terrisporobacter sp.	Romboutsia sp.	Clostridium colicanis	Bacteroides finegoldii	Tyzzerella sp.	(f)Selenomonadaceae sp.	(f)Sutterellaceae sp.	(c)Erysipelotrichia sp.	Romboutsia lituseburensis	Oscillospira sp.	(f)Family XIII sp.	Bacteroides stercoris	Parabacteroides merdae	Bacteroides fragilis	Alistipes putredinis	(f)Christensenellaceae sp.	(f)Clostridiaceae sp.	Megamonas sp.	Agathobaculum desmolans	Clostridium sp.	Collinsella aerofaciens	Alistipes shahii	(o)Selenomonadales sp.	Bacteroides xylanisolvens	Lachnospira sp.	Flavonifractor plautii	(o)Eggerthellales sp.	(c)Bacteroidia sp.	Fournierella massiliensis	(f)Erysipelotrichaceae sp.	(c)Clostridia sp.	Gallibacterium sp.
Ampicillin																																																																										
Amoxicillin																																																																										
Oxacillin																																																																										
Benzylpenicillin																																																																										
Cefadroxil																																																																										
Cefazolin																																																																										
Cefpodoxime																																																																										
Ceftiofur																																																																										
Cephalexin																																																																										
Cefovecin																																																																										
Cefoxitin																																																																										
Enrofloxacin																																																																										
Marbofloxacin																																																																										
Ciprofloxacin																																																																										
Pradofloxacin																																																																										
Clindamycin				ermB	ermB									ermB									ermB				ermB																											ermB								ermB												
Lincomycin				ermB	ermB									ermB									ermB				ermB																											ermB								ermB												
Erythromycin				ermB	ermB									ermB									ermB				ermB																											ermB								ermB												
Azithromycin				ermB	ermB									ermB									ermB				ermB																											ermB								ermB												
Sulfonamide																																																																										
Doxycycline																																																																										
Tetracycline																																																																										
Minocycline																																																																										
Neomycin																																																																										
Amikacin																																																																										
Gentamicin																																																																										
Clavamox																																																																										
Timentin																																																																										
