Antibiotics	Tier	Dosage	Drug Delivery	Achromobacter	Acinetobacter	Actinobacillus	Actinomyces	Aeromonas	Anaerococcus	Anaplasma phagocytophilum	Anaplasma platys	Arcanobacterium haemolyticum	Atlantibacter hermannii	Atopobium	Bacillus anthracis	Bacillus cereus	Bacillus subtilis	Bacteroides fragilis	Bacteroides	Bartonella henselae	Bartonella quintana	Bartonella	Bordetella pertussis	Borrelia	Burkholderia cepacia	Brucella canis	Campylobacter fetus	Campylobacter jejuni	Campylobacter	Capnocytophaga	Chlamydia abortus	Chlamydia felis	Chlamydia pneumoniae	Chlamydia trachomatis	Citrobacter freundii	Citrobacter	Clostridium botulinum	Clostridium difficile	Clostridium innocuum	Clostridium perfringens	Clostridium	Clostridium tetani	Corynebacterium auriscanis	Corynebacterium diptheriae	Corynebacterium jeikeium	Corynebacterium minutissimum	Coxiella burnetti	Dialister	Eggerthella	Ehrlichia chaffeensis	Ehrlichia ewingii	Ehrlichia	Eikenella	Eikenella corrodens	Elizabethkingia meningoseptica	Enterobacter cloacae	Enterobacter cloacae	Enterobacter	Enterococcus faecalis	Enterococcus faecium	Enterococcus	Erysipelothrix rhusiopathiae	Escherichia coli	Ezakiella	Fastidiosipila sanguinis	Fastidiosipila	Finegoldia magna	Francisella tularensis	Fusobacterium necrophorum	Fusobacterium	Gardneralla vaginalis	Haemophilus ducreyi	Haemophilus influenzae	Haemophilus parainfluenzae	Hafnia alvei	Helcococcus	Helicobacter	Klebsiella aerogenes	Klebsiella oxytoca	Klebsiella ozaenae	Klebsiella pneumonia	Klebsiella rhinoscleromatis	Klebsiella variicola	Kytococcus	Leptospira interrogans	Leptospira kirschneri	Morganella morganii	Mycobacterium	Mycoplasma canis	Mycoplasma cynos	Mycoplasma haemofelis	Mycoplasma penetrans	Mycoplasma	Neisseria gonorrhoeae	Neorickettsia helminthoeca	Nocardia abscessus	Nocardia brevicatena	Nocardia paucivorans	Nocardia nova	Nocardia farcinica	Nocardia cyriacigeorgica	Nocardia brasiliensis	Nocardia otitidiscaviarum	Ochrobactrum	Parabukholderia	Paraburkholderia bryophila	Paraburkholderia fungorum	Parvimonas	Pasteurella	Peptococcus	Peptoniphilus harei	Peptoniphilus	Peptostreptococcus canis	Peptostreptococcus	Porphyromonas	Prevotella	Proteus mirabilis	Proteus penneri	Proteus vulgaris	Providencia rettgeri	Providencia	Providencia stuartii	Pseudescherichia vulneris	Pseudomonas aeruginosa	Pseudomonas	Raoultella	Ricksettia	Salmonella enterica	Salmonella	Serratia marcescens	Shewanella	Shigella	Solobacterium moorei	Solobacterium	Sphingobacterium	Staphylococcus aureus	Staphylococcus epidermidis	Staphylococcus intermedius	Staphylococcus psedintermedius	Staphylococcus schleiferi	Staphylococcus	Stenotrophomonas maltophilia	Streptococcus agalactiae	Streptococcus bovis	Streptococcus canis	Streptococcus constellatus	Streptococcus dysgalactiae	Streptococcus halichoeri	Streptococcus intermedius	Streptococcus milleri	Streptococcus mitis	Streptococcus pneumoniae	Streptococcus pyogenes	Vagococcus	Yersinia enterocolitica	Yersinia
Cefazolin	1st	15 mg/kg, q 12 hrs	IV, SC	I	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	P	NA	NR	NR	NR	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	G	G	NA	G	NA	G	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	I	I	NR	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	I	F	NA	G	NA	G	NA	NA	NA	I	NA	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NR	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	I	I	I	G	I	G	I	NA	G	NA	NR	NR	I	NA	NR	NA	NA	NA	G	F	G	G	P	F	I	G	G	F	G	G	F	G	G	G	G	G	NA	I	G
Cephalothin	1st	4-20 mg/kg, q 8 hrs	PO	NR	NR	NR	NA	NR	NA	NR	NR	NA	NR	NA	NA	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	I	I	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NR	NR	NA	NR	NR	NR	NR	NR	NR	I	I	I	I	I	I	NA	I	NA	NA	NA	NA	NR	NR	NR	NA	NR	NR	NR	NR	NA	NR	NR	NR	NR	NR	NR	NR	NA	NA	NA	NA	NA	I	I	I	I	NR	NR	NR	NA	NA	NA	NA	NR	NA	NA	NR	I	NR	NR	NR	NA	NR	NA	NA	NA	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	NR	I	NR	NR	NA	NR	NR	I	NR	NR	NA	NA	NR	G	F	G	G	P	NA	NR	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NR	NR	NR
Cephalexin	1st	22 mg/kg, q 12 hrs	PO	I	NA	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	P	NA	NR	NR	NR	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	I	NA	I	I	NR	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	NA	NA	NA	NA	NA	I	NA	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NR	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	I	NA	NA	I	NR	NR	I	NA	NR	NA	NA	NA	F	F	F	F	F	F	I	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Cefadroxil	1st	22 mg/kg, q 12 hrs	PO	I	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	NR	NR	NA	NA	NA	NA	NA	I	G	NA	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	I	I	NA	I	I	NR	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	F	G	F	G	G	NA	NA	NA	I	NA	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NR	NA	NA	NR	I	NA	NA	NA	NA	G	NA	NA	NA	F	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NR	NR	I	NA	NR	NA	NA	NA	F	F	F	F	F	NA	I	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Cefoxitin	1st	15 mg/kg, q 12 hrs	IV, SC	I	NA	NA	NR	NA	NR	NA	NA	NR	G	NR	NR	NR	NR	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	I	G	NA	NR	NR	NR	NR	NR	NR	NR	I	NR	NA	G	NR	NA	NA	NA	NA	NA	I	I	I	I	I	I	NR	NR	G	NR	NR	NR	NR	NA	G	G	NA	NA	NA	NA	I	NR	NA	I	F	NA	G	NA	G	NR	NA	NA	I	NA	I	I	I	I	I	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	I	NA	NA	NA	NR	NA	NR	NR	NR	NR	NR	G	G	G	G	G	G	G	G	G	I	NA	G	NA	NR	NR	I	NA	NR	NR	NR	NA	NR	NR	NR	NR	NR	NR	I	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NA	G	G
Penicillin	1st	8-10 mg/kg, q 8 hrs	PO	NA	NA	NA	G	I	G	NA	NA	NA	NA	G	G	NA	NA	NA	I	NR	NR	NR	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	G	NA	NA	NA	I	NA	NA	G	NR	NA	NA	NA	NA	NA	I	I	I	NA	NR	NR	NR	NA	I	G	G	G	G	NA	NA	NR	NA	NA	NA	NA	NA	G	NA	NA	I	NA	I	NA	NA	NA	G	G	NA	NR	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	G	NR	G	G	G	NA	G	NR	NR	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NR	NA	NA	I	NA	NA	G	G	NA	F	F	P	F	F	G	NA	NR	NR	F	G	G	NA	G	G	G	G	G	G	NA	NA
Penicillin G	1st	--	--	NR	NR	NR	G	NR	G	NR	NR	G	NR	G	G	NA	NA	NR	I	NR	NR	NR	NR	NR	NR	NR	NR	I	NR	NR	NR	NR	NR	NR	I	NR	NA	G	G	G	G	NA	NA	G	I	NA	NR	NR	NR	NR	NR	NR	NR	NR	I	I	I	NA	G	P	G	G	I	G	G	G	F	NA	NA	G	NA	NA	NA	NA	NA	G	NA	NA	I	NA	I	NA	NA	NA	NA	NA	I	NR	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	G	G	G	F	G	F	G	G	G	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NR	NA	NA	I	NA	NA	G	G	NA	I	I	I	F	I	G	I	G	G	G	G	G	G	G	G	G	G	G	G	NA	NA
Oxacillin	1st	22 mg/kg, q 8 hrs	IV	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	NR	NR	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	I	I	NA	I	I	G	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	I	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	G	F	G	F	P	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA
Ampicillin	1st	22 mg/kg, q 8 hrs	IV, SC	NA	I	NA	G	I	G	NA	NA	NA	I	G	NA	NA	NA	NA	I	NR	NR	NR	NA	NA	I	NA	G	I	NA	NA	NA	NA	NA	NA	I	I	NA	G	G	NA	G	NA	NA	NA	I	NA	NA	G	G	NA	NA	NA	NA	NA	I	I	I	I	G	I	G	NA	P	G	NA	NA	NA	NA	NA	G	NA	NA	G	G	I	G	NA	I	I	NA	I	NA	I	NA	NA	NA	I	NA	I	I	I	I	I	NA	NA	G	G	G	G	NR	NR	NR	NR	I	I	I	I	G	G	G	NA	G	F	G	G	G	I	I	I	I	G	I	G	I	NA	I	NA	G	G	I	NA	G	G	G	NA	I	P	P	F	I	NA	I	G	G	G	G	G	G	G	G	G	G	G	G	I	G
Amoxicillin	1st	22 mg/kg, q 8 hrs	PO	NA	I	NA	G	I	G	NA	NA	NA	G	G	G	NA	NA	NA	NA	NR	NR	NR	F	G	I	NA	NA	I	NA	NA	G	G	G	G	G	G	NA	G	G	NA	G	NA	NA	NA	I	NA	NA	NA	G	NA	NA	NA	NA	NA	I	I	I	G	F	I	G	G	F	G	G	G	F	NA	NA	G	NA	I	NA	NA	G	G	G	G	I	NA	I	NA	G	NA	G	G	G	NA	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	I	I	I	G	G	G	F	G	NA	G	NA	NA	F	G	G	G	G	G	G	I	NA	G	NA	G	G	G	NA	G	G	G	NA	N	N	N	N	N	NA	NA	F	F	F	F	F	F	F	F	F	G	F	NA	G	G
Clavamox	1st	13.75 mg/kg, q 12 hrs	PO	NA	I	NA	NA	NA	NR	NA	NA	NA	G	NR	NA	NA	NA	NA	G	NR	NR	NR	NA	NA	I	NA	NA	I	NA	G	NA	NA	NA	NA	I	G	NA	NR	NR	NR	NR	NR	NR	NR	I	NR	NA	G	G	NA	NA	NA	G	G	NA	I	I	I	G	F	G	NA	F	NR	NA	NA	NR	NA	NA	G	NA	NA	G	G	I	NR	NA	G	F	NA	F	NA	G	NA	NA	NA	I	NA	I	I	I	I	I	NA	NA	NR	NR	NR	NR	NA	NR	NR	NR	I	I	I	I	NR	NA	NR	NR	NR	NR	NR	G	G	G	G	G	I	G	I	G	I	NA	G	NA	G	G	I	NA	G	NR	NR	NA	P	F	F	G	P	NA	I	NA	NA	G	NA	NA	F	NA	NA	NA	G	NA	NA	I	G
Gentamicin	1st	6 mg/kg, q 24 hrs	IV, SC	I	G	NA	NR	NA	NR	NA	NA	NR	G	NR	NR	NR	NR	NA	I	NA	NA	NA	NA	NA	NA	G	G	NA	NA	NA	NA	NA	NA	NA	G	G	NR	I	I	I	I	I	NR	NR	I	NR	NA	NA	NR	NA	NA	NA	NA	NA	I	G	G	G	I	I	I	NR	G	NR	NR	NR	NR	G	NA	NA	NA	NA	NA	NA	G	NR	NA	G	F	NA	G	NA	G	NR	NA	NA	G	NA	F	F	NA	F	G	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	P	NA	NA	NA	NR	NA	NR	NR	NR	I	NR	NA	NA	G	G	G	G	G	G	G	F	G	G	NA	NR	NR	G	G	NR	NR	NR	G	NR	NR	NR	NR	NR	NR	I	I	NR	NR	NR	NR	NR	NR	NR	NR	I	NR	G	G	G
Tobramycin	1st	--	IV/Topical Use	I	G	NA	NR	NA	NR	NA	NA	NR	G	NR	NR	NR	NR	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	NR	I	I	I	I	I	NR	NR	I	NR	NA	NA	NR	NA	NA	NA	NA	NA	I	F	G	G	I	I	NR	NR	F	NR	NR	NR	NR	G	NA	NA	NA	NA	NA	NA	G	NR	NA	G	F	NA	F	NA	G	NR	NA	NA	G	NA	F	F	NA	F	G	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	NA	NA	NA	NA	NR	NA	NR	NR	NR	I	NR	NA	NA	F	G	G	G	G	G	G	F	G	G	NA	NR	NR	G	NA	NR	NR	NR	G	F	F	F	F	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G
