Organisms	Ampicillin	Ampicillin-Sulbactam	Clavamox|Amoxicillin	Piperacillin	Piperacillin-Tazobactam	Benzylpenicillin	Temocillin	Ticarcillin	Timentin	Amikacin	Arbekacin	Streptomycin	Gentamicin	Neomycin	Netilmicin	Kanamycin	Tetracycline|Doxycycline	Tigecycline	Daptomycin	Colistin	Nitrofurantoin	Cefotaxime|Cefpodxime|Cefovecin|Ceftiofur|Cefpodoxime	Ceftriaxone	Ceftazidime	Cefazolin|Cefalotin|Cefalexin|Cefadroxil	Cefoxitin	Cefepime	Cefuroxime	Ertapenem	Imipenem	Meropenem	Ciprofloxacin|Enrofloxacin|Marbofloxacin	Nalidixic acid	Chloramphenicol	Trimethoprim	Fosfomycin	Macrolides|Azithromycin|Erythromycin	Fusidic acid	Other Streptogramins	Quinupristin-Dalfopristin	Clindamycin	Vancomycin	Teicoplanin	Novobiocin	Sulfonamide	Rifampicin	Linezolid	Aztreonam
Citrobacter koseri|Citrobacter amalonaticus|Citrobacter sedlakii|Citrobacter farmeri|Citrobacter rodentium	R	NA	NA	NA	NA	R	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Citrobacter freundii|Citrobacter braakii|Citrobacter murliniae|Citrobacter werkmanii|Citrobacter youngae	R	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Enterobacter cloacae	R	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Enterobacter aerogenes	R	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Escherichia hermannii	R	NA	NA	NA	NA	R	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Hafnia alvei	R	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Klebsiella pneumoniae|Klebsiella oxytoca	R	NA	NA	NA	NA	R	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Raoultella	R	NA	NA	NA	NA	R	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Morganella morganii	R	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	R	R	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Proteus mirabilis	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
Proteus vulgaris	R	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	NA	NA	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	NA	NA	NA	R	R	NA
