Pathogens
Abiotrophia defectiva
Achromobacter 
Achromobacter xylosoxidans
Acinetobacter 
Acinetobacter baumannii
Acinetobacter iwoffii
Actinobacillus pleuropneumoniae
Actinomadura 
Actinomadura madurae
Actinomadura pelletieri
Actinomyces 
Actinomyces europaeus
Actinomyces gerencseriae
Actinomyces graevenitzii
Actinomyces israelii
Actinomyces naeslundii
Actinomyces neuii
Actinomyces viscosus
Aereococcus viridans
Aggregatibacter actinomycetemcomitans
Agrobacterium
Agrobacterium rhizogenes
Agrobacterium tumefaciens
Alcaligenes faecalis
Anaerococcus lactolyticus
Anaerococcus murdochii
Anaerococcus prevotii
Anaerococcus tetradius
Anaerococcus vaginalis
Arcanobacterium haemolyticum
Arthrobacter
Arthrobacter woluwensis
Athrobacter 
Atopobium parvulum
Atopobium rimae
Atopobium vaginae
Auritidibacter
Auritidibacter ignavus
Bacillus anthracis
Bacteroides fragilis
Bacteroides ovatus
Bacteroides pyogenes
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides vulgatus
Bartonella
Bartonella bacilliformis
Bartonella clarridgeiae
Bartonella elizabethae
Bartonella grahamii
Bartonella henselae
Bartonella koehlerae
Bartonella naantaliensis
Bartonella quintana
Bartonella rochalimae
Bartonella vinsonii
Bilophila wadsworthia
Bordetella 
Bordetella bronchialis
Bordetella bronchiseptica
Bordetella flabilis
Bordetella hinzii
Bordetella holmesii
Bordetella parapertussis
Bordetella pertussis
Bordetella trematum
Borrelia afzelli
Borrelia crocidurae
Borrelia crocidurae 
Borrelia duttonii
Borrelia hermsii
Borrelia hispanica
Borrelia mayonii
Borrelia miyamotoi
Borrelia parkeri
Borrelia persica
Borrelia recurrentis
Borrelia turicatae
Borreliella afzelli
Borreliella burgdorferi
Borreliella garinii
Brevibacterium
Brevibacterium casei
Brevibacterium luteolum
Brevibacterium otitidis
Brevibacterium paucivorans
Brevibacterium ravenspurgense
Brevundimonas
Brevundimonas diminuta
Brevundimonas vesicularis
Brucella abortus
Brucella canis
Brucella melitensis
Brucella suis
Burkholderia ambifaria
Burkholderia anthina
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia gladioli
Burkholderia glumae
Burkholderia mallei
Burkholderia multivorans
Burkholderia pseudomallei
Burkholderia pyrrocinia
Burkholderia stabilis
BVAB1
BVAB2
Campylobacter
Campylobacter coli
Campylobacter concisus
Campylobacter fetus
Campylobacter gracilis
Campylobacter jejuni
Campylobacter lari
Campylobacter rectus
Campylobacter upsaliensis
Campylobacter ureolyticus
Candida albicans
Candida dubliniensis
Candida glabrata
Candida krusei
Candida lusitaniae
Candida parapsilosis
Candida tropicalis
Capnocytophaga 
Capnocytophaga canimorsus
Capnocytophaga ochracea
Capnocytophaga sputigena
Cardiobacterium hominis
Cardiobacterium valvarum
Catabacter hongkongensis
Cedecea davisae
Cedecea lapagei
Cedecea neteri
Chlamydia pneumoniae
Chlamydia psittaci
Chlamydia suis
Chlamydia trachomatis
Chromobacterium haemolyticum
