Pathogens,Kingdom,Citation1,Citation2,Citation3,Former Species Name
Aeromonas,"avian, turtle, amphibian, reptile, fish",,,,
Aeromonas hydrophila ,"fish, amphibian",,,,
Aeromonas salmonicida,fish,,,,
Aliivibrio salmonicida,fish,,,,
Anaplasma,,,,,
Aspergillus,"avian, reptile",,,,
Aspergillus flavus,avian,,,,
Aspergillus fumigatus,avian,,,,
Aspergillus niger,avian,,,,
Astronotus ocellatus,fish,,,,
Bacillus,avian,,,,
Bacteroides,turtle,,,,
Basidiobolus,"amphibian, reptile",,,,
Batrachochytrium dendrobatidis,amphibian,,,,
Blastomyces,avian,,,,
Blastomyces dermatitidis,ferret,,,,
Bordetella avium,avian,,,,
Bordetella bronchiseptica,rabbit,,,,
Bordetella bronchiseptica,rabbit,,,,
Borrelia anserina,avian,,,,
Borrelia burgdorferi,,,,,
Borrelia garinii,,,,,
Borrelia afzelii,,,,,
Brachyspira,avian,,,,
Campylobacter jejuni,avian,,,,
Candida,reptile,,,,
Candida albicans,avian,,,,
Candida glabrata,avian,,,,
Candida parapsilosis,avian,,,,
Candida tropicalis,avian,,,,
Chlamydia,"avian, amphibian",,,,
Chlamydia abortus,amphibian,,,,
Chlamydia pneumoniae,amphibian,,,,
Chlamydia psittaci,"avian, amphibian",,,,
Chlamydia suis,amphibian,,,,
Chlamydophila psittaci,avian,,,,
Chrysosporium,,,,,
Citrobacter,"avian, turtle, amphibian, reptile",,,,
Citrobacter freundii,reptile,,,,
Cladosporium,amphibian,,,,
Clostridium,"avian, turtle",,,,
Clostridium difficile,rabbit,,,,
Clostridium piliforme,rabbit,,,,
Clostridium spiroforme,rabbit,,,,
Coccidioides immitis,ferret,,,,
Corynebacterium,turtle,,,,
Cryptococcus bacillisporus,ferret,,,,
Cryptococcus neoformans,avian,,,,
Cryptococcus neoformans var grubii,ferret,,,,
Cryptosporidia sp,avian,,,,
Cyanobacterium,,,,,
Dermatophilus ,reptile,,,,
Desulfovibrio,ferret,,,,
Edwardsiella ictaluri,fish,,,,
Eimeria tenella,avian,,,,
Encephalitozoon cuniculi,rabbit,,,,
Enterobacter,"avian, reptile",,,,
Enterococcus,"avian, fish",,,,
Erysiopelothrix rhusiopathiae,"avian, fish",,,,
Erysipelothrix,reptile,,,,
Escherichia,turtle,,,,
Escherichia coli,"avian, reptile, rabbit, ferret",,,,
Flavobacterium columnare,fish,,,,
Fonsecaea,amphibian,,,,
Francisella tularensis,rabbit,,,,
Fusarium,reptile,,,,
Fusarium solani,fish,,,,
Fusobacterium,turtle,,,,
Geotrichum,reptile,,,,
Hansenulla,avian,,,,
Helicobacter mustelae,ferret,,,,
Hemophilus gallinarum,avian,,,,
Hemophilus spp.,avian,,,,
Histoplasma,avian,,,,
Klebsiella,"avian, turtle, reptile",,,,
Klebsiella pneumoniae,"rabbit, ferret",,,,
Lactococcus,fish,,,,
Lawsonia,,,,,
LAWSONIA INTRACELLULARIS,rabbit,,,,
Lawsonia intracellularis,ferret,,,,
Listeria monocytogenes,rabbit,,,,
Listonella,fish,,,,
Macrorhabdus ornithogaster,avian,,,,
Malassezia,avian,,,,
