Pathogens,Kingdom,Citation1,Citation2,Citation3,Former Species Name
Batrachochytrium dendrobatidis,amphibian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Chlamydia abortus,amphibian,"Greene, Craig E.? Infectious Diseases of the Dog and Cat-E-Book. Elsevier Health Sciences, 2013.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Chlamydia pneumoniae,amphibian,"Greene, Craig E.? Infectious Diseases of the Dog and Cat-E-Book. Elsevier Health Sciences, 2013.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Chlamydia suis,amphibian,"Greene, Craig E.? Infectious Diseases of the Dog and Cat-E-Book. Elsevier Health Sciences, 2013.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Mycobacterium fortuitum,amphibian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Mycobacterium liflandii,amphibian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Mycobacterium pseudoshottii,amphibian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Mycobacterium shottii,amphibian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Mycobacterium szulgai,amphibian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Mycobacterium xenopi,amphibian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
