#taxa	5th	10th	50th	90th	95th	frequency	average
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis	0.0	0.0	0.0	0.0	0.00650645896657	3	0.0008
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudocatenulatum	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudolongum	0.0	0.0	0.0	0.00100187852223	0.01520020846	6	0.0104
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__saeculare	0.0	0.0	0.0	0.0	0.00093425513173	5	0.0001
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__variabile	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__thraciensis	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__corynebacterioides	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__aggregatus	0.0	0.0	0.0	0.0	0.0	2	0.0001
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__aggregatus-saxobsidens	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__saxobsidens	0.0	0.0	0.0	0.0	0.00163626446882	3	0.0006
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__sp6056	0.0	0.0	0.0	0.0	0.0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Geodermatophilus;s__sp6074	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Modestobacter;s__marinus	0.0	0.0	0.0	0.0	0.0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Modestobacter;s__marinus-roseus	0.0	0.0	0.0	0.0	0.0	2	0.0002
