id,C1,C2
Staphylococcus delphini-intermedius-pseudintermedius,64674.2,434381.8
Staphylococcus schleiferi,0,258.833333333333
Corynebacterium auriscanis,2596.33333333333,21010.6666666667
Streptococcus canis,925.333333333333,6213
Peptostreptococcus canis,1324.33333333333,7841.66666666667
Finegoldia magna,1294,8160.25
Arcanobacterium canis,0,508.333333333333
Streptococcus halichoeri,0,837.333333333333
Bradyrhizobium embrapense-erythrophlei-viridifuturi,1613.33333333333,Infinity
Corynebacterium jeikeium,663,8015
Nakamurella sp.,0,Infinity
Enterococcus faecalis,674.75,4748.75
Corynebacterium mastitidis,770,3758.33333333333
Anaerococcus sp.,317,1918
(f)Peptoniphilaceae sp.,239.666666666667,1976
Peptoniphilus harei,147,1125
Helcococcus kunzii,0,0
Bacteroides pyogenes,143.666666666667,837.333333333333
Lawsonella clevelandensis,2061,8896.5
Corynebacterium lactis,4502.33333333333,29080.3333333333
Trueperella bernardiae,0,254.666666666667
Anaerococcus vaginalis,0,573
Pseudomonas aeruginosa,194.75,1518
Rubrobacter xylanophilus,Unknown,Unknown
Fusobacterium nucleatum,270.4,1377
Methylorubrum populi,0,0
Actinomyces sp.,4009.66666666667,23784.6666666667
Porphyromonas cangingivalis,46853,302181
Gemella palaticanis,1828.66666666667,12834.3333333333
Escherichia coli,814.285714285714,4457.42857142857
Moraxella porci,1004.66666666667,5643
Corynebacterium pseudogenitalium-tuberculostearicum,3168.66666666667,14117
(o)Corynebacteriales sp.,457,2132.66666666667
Rothia endophytica,116.666666666667,526.666666666667
Filifactor villosus,1817,8459.33333333333
Peptoniphilus sp.,Unknown,Unknown
Fusobacterium sp.,4804.5,27373.3333333333
Staphylococcus aureus,282.333333333333,1835
Staphylococcus haemolyticus,151.666666666667,911.666666666667
Proteus mirabilis,1042.85714285714,Infinity
Actinomyces europaeus,0,0
(c)Bacteroidia sp.,1161.33333333333,9482.33333333333
Staphylococcus lugdunensis,0,127.333333333333
Staphylococcus sciuri,0,74.8333333333333
Enterococcus canintestini,0,0
Anaerococcus prevotii,0,91.75
Peptoniphilus grossensis,0,0
Corynebacterium ulcerans,0,0
Curtobacterium oceanosedimentum,0,Infinity
Microbacterium thalassium,0,Infinity
Porphyromonas canis-gingivicanis,3712,23912.75
Porphyromonas gulae,13382,78240.3333333333
Parvimonas micra,0,90.3333333333333
Neisseria animaloris,410.666666666667,1806.33333333333
Bifidobacterium longum,3.25,103.25
Cutibacterium acnes,29786.3333333333,141650.666666667
Cutibacterium granulosum,5990,Infinity
(o)Lactobacillales sp.,40863.3333333333,Infinity
