id,C1,C2
Sphingobium yanoikuyae,3882,Infinity
Cutibacterium acnes,2526,Infinity
Escherichia coli,1,132
Staphylococcus delphini-intermedius-pseudintermedius,42,189043
Acinetobacter johnsonii,235,Infinity
Acidovorax delafieldii-radicis,713,Infinity
Pseudomonas sp.,1653,Infinity
Pseudomonas fluorescens,178,Infinity
Staphylococcus epidermidis,403,Infinity
Cladosporium sp.,2873,Infinity
Staphylococcus hominis,1540,Infinity
(o)Clostridiales sp.,8,115
Malassezia globosa,0,Infinity
Kocuria sp.,900,Infinity
(c)Thermomicrobia sp.,42,Infinity
(o)Acidimicrobiales sp.,556,Infinity
(c)Actinobacteria sp.,320,Infinity
Burkholderia sp.,93,Infinity
Malassezia restricta,3,Infinity
(o)Propionibacteriales sp.,553,Infinity
(f)Nocardioidaceae sp.,816,Infinity
(o)Solirubrobacterales sp.,393,Infinity
(p)Chloroflexi sp.,780,Infinity
Bacillus sp.,186,Infinity
(c)Clostridia sp.,22,397
(f)Rhodobacteraceae sp.,653,Infinity
Pseudomonas mendocina-oleovorans,187,Infinity
Alternaria sp.,514,Infinity
(f)Acidimicrobiaceae sp.,606,Infinity
Corynebacterium mastitidis,13300,Infinity
Corynebacterium pseudogenitalium-tuberculostearicum,426,Infinity
Geodermatophilus poikilotrophus,1420,Infinity
Micrococcus luteus,4430,Infinity
(o)Lactobacillales sp.,4226,Infinity
(f)Lachnospiraceae sp.,Unknown,Unknown
Saccharomyces cerevisiae,0,3
(k)Fungi sp.,495,Infinity
Corynebacterium sp.,29,Infinity
Blastococcus aggregatus,553,Infinity
Microbacterium sp.,480,Infinity
Micrococcus aloeverae-luteus,1020,Infinity
Nocardioides sp.,1273,Infinity
Gemella palaticanis,766,Infinity
Staphylococcus pasteuri-warneri,23,Infinity
Streptococcus equinus-infantarius-lutetiensis,24,Infinity
(f)Bradyrhizobiaceae sp.,Unknown,Unknown
Paraburkholderia fungorum,3,Infinity
Proteus mirabilis,0,0
(f)Moraxellaceae sp.,142,Infinity
(o)Pleosporales sp.,40,Infinity
Mycolicibacterium mucogenicum-phocaicum,443,Infinity
Kocuria palustris,326,Infinity
(o)Cytophagales sp.,220,Infinity
Exiguobacterium undae,170,Infinity
Staphylococcus capitis-caprae,35,Infinity
(c)Bacilli sp.,26,266
(c)Gemmatimonadetes sp.,173,Infinity
Massilia sp.,Unknown,Unknown
Moraxella osloensis,22,Infinity
(p)Ascomycota sp.,42,Infinity
(o)Hypocreales sp.,8,Infinity
(p)*Saccharibacteria sp.,183,Infinity
Bifidobacterium pseudocatenulatum,588,Infinity
Corynebacterium kroppenstedtii,90,Infinity
(f)Nocardiaceae sp.,423,Infinity
Modestobacter lapidis,483,Infinity
Curtobacterium sp.,193,Infinity
Microbacterium invictum,90,Infinity
Microbacterium lacticum,160,Infinity
Microbacterium phyllosphaerae,356,Infinity
Marmoricola pocheonensis,353,Infinity
(o)Gaiellales sp.,166,Infinity
(o)Bacteroidales sp.,0,0
Exiguobacterium marinum,1590,Infinity
Enterococcus faecalis,0,0
Streptococcus canis,706,Infinity
Lachnoclostridium sp.,Unknown,Unknown
Catenibacterium mitsuokai,1560,Infinity
Megamonas funiformis,60,Infinity
Finegoldia magna,127,Infinity
(c)Planctomycetia sp.,116,Infinity
Brevundimonas bullata-diminuta-terrae,310,Infinity
(c)Alphaproteobacteria sp.,160,Infinity
(o)Rhizobiales sp.,373,Infinity
(o)Rhodospirillales sp.,643,Infinity
(f)Sphingomonadaceae natatoria-ursincola,246,Infinity
Massilia timonae,88,Infinity
(o)Myxococcales sp.,110,Infinity
Pseudomonas aeruginosa,107,Infinity
Pseudomonas alcaliphila,97,Infinity
Cladosporium halotolerans-sphaerospermum,16,Infinity
Aureobasidium proteae-pullulans,459,Infinity
(c)Dothideomycetes sp.,91,Infinity
Didymella glomerata,14,Infinity
Penicillium digitatum-tarraconense-terraconense,431,Infinity
(c)Agaricomycetes sp.,3,Infinity
(o)Polyporales sp.,0,Infinity
(c)Acidimicrobiia sp.,186,Infinity
(f)Actinomycetaceae sp.,170,Infinity
(f)Corynebacteriaceae sp.,73,Infinity
Mycobacterium sp.,100,Infinity
Geodermatophilus sp.,306,Infinity
(f)Geodermatophilaceae sp.,443,Infinity
Microbacterium oleivorans,150,Infinity
Arthrobacter globiformis,1290,Infinity
Arthrobacter pascens,803,Infinity
Arthrobacter psychrolactophilus,9133,Infinity
Kocuria rosea,3190,Infinity
