#key_name,other_names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skin,back,neck,inguinal,facial,face,abdomen,chest,nail,foot,feet,abdominal,tail,wound,paw,leg,nailbed,toe,chin,penis,head,thorax,dorsal,nasomaxillary fold,beak,prepuce,plastron,carapace,shell,belly,elbow
ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feces,fecal,stool,rectum,GI,rectal,colon,,,,,,,,,,,,,,,,,,,,,,,,
cloaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nose,nasal,nostril,nasolacrimal,blowhole,choana,nares,Naso-choanal,nasochoanal,choanal cleft,sinus,,,,,,,,,,,,,,,,,,,,
oral,tongue,mouth,tooth,gingiva,saliva,caudal mucosa,throat,buccal,trachea,dental,glottis,teeth,mandibular,oropharynx,,,,,,,,,,,,,,,,
eye,cornea,retrobulbar,ocular,,,,,,,,,,,,,,,,,,,,,,,,,,,
urine,gallbladder,free catch,bladder,cysto,catheter,,,,,,,,,,,,,,,,,,,,,,,,,
vagina,vaginal,vulva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blood,plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lung,resp,trachea,pleural,sputum,,,,,,,,,,,,,,,,,,,,,,,,,,
gastric,stomach,stomatitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tissue,liver,joint,bone,kidney,heart,anal gland,uropygial gland,,,,,,,,,,,,,,,,,,,,,,,
