#key_name,other_names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canine,dog,pug,english spot,labrador,shepherd,lab,beagle,dachshund,shih tzu,cocker spaniel,golden retriever,chihuahua,yorkshire terrier,boxer,labrador retriever,labradoodle,pitbull,frenchie,poodle,bulldog,husky,great dane,maltese,shihtzu,standard poodle,cocker,yorkie,weimaraner,goldendoodle,boston terrier,doberman,pit bull,maltipoo,bloodhound,greyhound,mbd,malinois,german shepard,corgi,pomeranian,rottweiler,sheltie,dachsund,collie,mixed breed,puggle,pitbull terrier,terrier,bichon,lab retriever,basset hound,jack russell,gsd,golden doodle,golden retreiver,cairn terrier,schnauzer,sheepdog,hound,cockapoo,mastiff,havanese,papillon,corso,shiba inu,pinscher,vizsla,great pyrenees,bichon frise,pointer,akita,saint bernard,st. bernard,st bernard,cavalier,spaniel,ridgeback,heeler,jack russell,westie
feline,dsh,cat,dlh,dmh,short hair,shorthair,siamese,coon,short-hair,bombay,medium hair,medium-hair,long hair,long-hair,bengal,longhair,ragdoll,calico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rabbit,leporidae ,hare,Lagomorph,lop,dwarf,lionhead,lion head,rex,flemish giant,,american blue,florida white,jersey wooly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avian,bird,cockatiel,sparrow,parakeet,chicken,duck,goose,budgie,macaw,pigeon,parrot,congo african grey,budgerigar,conure,lovebird,cockatoo,african grey,eclectus,pionus,rooster,adelie penguin,house sparrow,caique,tern,aratinga,dove,amazon,screamer,lorikeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodent,mice,guinea,chinchilla,rat,hamster

sugar_glider,sugar glider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin,tursiops,bottlenose,truncatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lizard,gecko,chameleon ,tegu,skink,axolotl,iguana,savannah monitor

bearded_dragon,bearded dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtle,tortoise,red ear slider,red eared slider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snake,python,constrictor,boa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sealion,otariinae ,sea lion,seal,manatee,walrus,rosmarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferret,mustelid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equine,horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whale,orca,cetacea,beluga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedgehog ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kangaroo,wallaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,giraffe,gerenuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monkey,macaque,chimpanzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
