#query	genus	phylum	domain
Acholeplasma oculi	Acholeplasma	Mycoplasmatota	Bacteria
Acinetobacter	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter baumannii	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter baylyi	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter beijerinckii	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter bereziniae	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter calcoaceticus	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter haemolyticus	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter johnsonii	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter junii	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter lwoffii	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter parvus	Acinetobacter	Pseudomonadota	Bacteria
Acinetobacter ursingii	Acinetobacter	Pseudomonadota	Bacteria
Actinobacillus capsulatus	Actinobacillus	Pseudomonadota	Bacteria
Actinomyces bowdenii	Actinomyces	Actinomycetota	Bacteria
Actinomyces bowdenii	Actinomyces	Actinomycetota	Bacteria
Actinomyces canis	Schaalia	Actinomycetota	Bacteria
Actinomyces catuli	Actinomyces	Actinomycetota	Bacteria
Actinomyces coleocanis	Gleimia	Actinomycetota	Bacteria
Actinomyces hordeovulneris	Buchananella	Actinomycetota	Bacteria
Actinomyces hyovaginalis	Schaalia	Actinomycetota	Bacteria
Actinomyces meyeri	Schaalia	Actinomycetota	Bacteria
Actinomyces odontolyticus	Schaalia	Actinomycetota	Bacteria
Actinomyces pyogenes	Trueperella	Actinomycetota	Bacteria
Actinomyces turicensis			
Actinomyces viscous			
Aeromonas	Aeromonas	Pseudomonadota	Bacteria
Aeromonas hydrophila	Aeromonas	Pseudomonadota	Bacteria
Aeromonas salmonicida	Aeromonas	Pseudomonadota	Bacteria
Aggregatibacter actinomycetemcomitans	Aggregatibacter	Pseudomonadota	Bacteria
Alcaligenes	Alcaligenes	Pseudomonadota	Bacteria
Alcaligenes faecalis	Alcaligenes	Pseudomonadota	Bacteria
Aliivibrio salmonicida	Aliivibrio	Pseudomonadota	Bacteria
Anaerobiospirillum	Anaerobiospirillum	Pseudomonadota	Bacteria
Anaerococcus prevotii	Anaerococcus	Bacillota	Bacteria
Anaerococcus vaginalis	Anaerococcus	Bacillota	Bacteria
Anaplasma	Anaplasma	Pseudomonadota	Bacteria
Anaplasma phagocytophilum	Anaplasma	Pseudomonadota	Bacteria
Anaplasma platys	Anaplasma	Pseudomonadota	Bacteria
Arcanobacterium canis	Arcanobacterium	Actinomycetota	Bacteria
Arcanobacterium phocae	Arcanobacterium	Actinomycetota	Bacteria
Arcanobacterium pyogenes	Trueperella	Actinomycetota	Bacteria
Arcobacter	Arcobacter	Campylobacterota	Bacteria
Austwickia chelonae	Austwickia	Actinomycetota	Bacteria
Avibacterium paragallinarum	Avibacterium	Pseudomonadota	Bacteria
Bacteroides denticanum	Bacteroides	Bacteroidota	Bacteria
Bacteroides fragilis	Bacteroides	Bacteroidota	Bacteria
Bacteroides heparinolyticus	Bacteroides	Bacteroidota	Bacteria
Bacteroides pyogenes	Bacteroides	Bacteroidota	Bacteria
Bacteroides uniformis	Bacteroides	Bacteroidota	Bacteria
Bartonella	Bartonella	Pseudomonadota	Bacteria
Bartonella bacilliformis	Bartonella	Pseudomonadota	Bacteria
Bartonella clarridgeiae	Bartonella	Pseudomonadota	Bacteria
Bartonella elizabethae	Bartonella	Pseudomonadota	Bacteria
Bartonella grahamii	Bartonella	Pseudomonadota	Bacteria
Bartonella henselae	Bartonella	Pseudomonadota	Bacteria
Bartonella koehlerae	Bartonella	Pseudomonadota	Bacteria
Bartonella naantaliensis	Bartonella	Pseudomonadota	Bacteria
Bartonella quintana	Bartonella	Pseudomonadota	Bacteria
Bartonella rochalimae	Bartonella	Pseudomonadota	Bacteria
Bartonella vinsonii	Bartonella	Pseudomonadota	Bacteria
Basilea psittacipulmonis	Basilea	Pseudomonadota	Bacteria
Bergeyella zoohelcum	Bergeyella	Bacteroidota	Bacteria
Bibersteinia trehalosi	Bibersteinia	Pseudomonadota	Bacteria
Bordetella	Bordetella	Pseudomonadota	Bacteria
Bordetella avium	Bordetella	Pseudomonadota	Bacteria
Bordetella bronchiseptica	Bordetella	Pseudomonadota	Bacteria
Bordetella parapertussis	Bordetella	Pseudomonadota	Bacteria
Bordetella pertussis	Bordetella	Pseudomonadota	Bacteria
Borrelia afzelii	Borreliella	Spirochaetota	Bacteria
Borrelia anserina	Borrelia	Spirochaetota	Bacteria
Borrelia burgdorferi	Borreliella	Spirochaetota	Bacteria
Borrelia crocidurae	Borrelia	Spirochaetota	Bacteria
Borrelia duttonii	Borrelia	Spirochaetota	Bacteria
Borrelia garinii	Borreliella	Spirochaetota	Bacteria
Borrelia hermsii	Borrelia	Spirochaetota	Bacteria
Borrelia hispanica	Borrelia	Spirochaetota	Bacteria
