Bacteroides fragilis
Finegoldia magna
Fusobacterium gastrosuis
Aspergillus flavus
Porphyromonas gulae
Clostridium paraputrificum
Corynebacterium amycolatum
Helicobacter cinaedi
Streptococcus agalactiae
Streptococcus anginosus
Lawsonella clevelandensis
Acremonium
Hortaea werneckii
Klebsiella pneumoniae
Staphylococcus aureus
Clostridioides difficile
Corynebacterium urealyticum
Clostridium disporicum
Fusarium solani
Klebsiella oxytoca
Streptococcus dysgalactiae
Fusobacterium canifelinum
Corynebacterium auriscanis
Candida parapsilosis
Alcaligenes faecalis
Arcanobacterium canis
Corynebacterium kroppenstedtii
Clostridium botulinum
Aspergillus
Corynebacterium resistens
Fusobacterium nucleatum
Citrobacter freundii
Devriesea agamarum
Candida tropicalis
Actinobacillus
Peptostreptococcus canis
Clostridium perfringens
Acinetobacter baumannii
Porphyromonas gingivalis
Kazachstania pintolopesii
Prevotella loescheii
Klebsiella aerogenes
Escherichia coli
Enterococcus faecium
Pseudopropionibacterium propionicum
Salmonella enterica
Sporothrix
Stachybotrys chartarum
Serratia marcescens
Schaalia canis
Rhizopus oryzae
Proteus mirabilis
Porphyromonas cangingivalis
Malassezia pachydermatis
Corynebacterium jeikeium
Moraxella cuniculi
Nannizziopsis chlamydospore
Bacteroides heparinolyticus
Cryptococcus neoformans
Mycoplasma cynos
Neisseria shayeganii
Parvimonas micra
Mycoplasma agassizii
Pasteurella dagmatis
Mycoplasma canis
Corynebacterium lactis
Corynebacterium freneyi
Arcanobacterium phocae
Staphylococcus pseudintermedius
Streptobacillus felis
Mycolicibacterium aubagnense
Stenotrophomonas maltophilia
Mycolicibacterium fortuitum
Staphylococcus epidermidis
Bacteroides pyogenes
Bergeyella zoohelcum
Blastomyces dermatitidis
Brevibacterium otitidis
Mycoplasma
Enterococcus faecalis
Paeniclostridium ghonii
Staphylococcus equorum
Staphylococcus haemolyticus
Staphylococcus schleiferi
Morganella morganii
Moraxella porci
Candida albicans
Mycobacterium
Pasteurella multocida
Staphylococcus felis
Peptoniphilus harei
Pasteurella canis
Corynebacterium renale
Micrococcus luteus
Pseudomonas aeruginosa
Streptococcus intermedius
Streptococcus pneumoniae
Tannerella forsythia
Trueperella pyogenes
Yersinia
Vibrio
Ureaplasma
Streptococcus halichoeri
Streptococcus equinus
Streptococcus canis
Proteus vulgaris
Terrisporobacter glycolicus
Nannizziopsis
Mycoplasma felis
Mycolicibacterium
Mycolicibacterium smegmatis
Moraxella catarrhalis
Campylobacter rectus
Corynebacterium mastitidis
Staphylococcus saprophyticus
Enterobacter cloacae
Streptobacillus moniliformis
Actinobacillus capsulatus
