id,C1,C2
(f)Neisseriaceae sp.,51271210,Infinity
(o)Lactobacillales sp.,49976956,Infinity
(c)Bacilli sp.,1583135,Infinity
Cladosporium sp.,195939,Infinity
(f)Campylobacteraceae sp.,24881573,Infinity
Helicobacter sp.,25946930,Infinity
(k)Fungi sp.,2762,Infinity
(c)Mollicutes sp.,79738286,Infinity
(c)Epsilonproteobacteria sp.,185905556,Infinity
Moraxella cuniculi,126154136,Infinity
(o)Pseudomonadales sp.,365707300,Infinity
Mycoplasma sp.,66526576,Infinity
Alternaria sp.,10906,Infinity
(c)Erysipelotrichia sp.,40340020,Infinity
(o)Pleosporales sp.,2649,Infinity
Vishniacozyma victoriae,22361,Infinity
(o)Neisseriales sp.,207492,2074923
Corynebacterium sp.,8132713,Infinity
Alopecurus japonicus,4280490,Infinity
(f)Pasteurellaceae sp.,1246021,12460216
(o)Flavobacteriales sp.,2886600,Infinity
(c)Chitinophagia sp.,8281956,Infinity
Bibersteinia sp.,608140,Infinity
Malassezia restricta,39,Infinity
(c)Malasseziomycetes sp.,320,Infinity
Vishniacozyma tephrensis,1011,Infinity
Actinobacillus capsulatus,332650,Infinity
Alternaria infectoria-rosae,46523,Infinity
Aspergillus sp.,631,Infinity
Cyniclomyces guttulatus,583,Infinity
Bibersteinia trehalosi,176365,Infinity
Alternaria malorum-obclavata,7877,Infinity
(c)Sordariomycetes sp.,869,Infinity
Actinobacillus sp.,6241,193677
Moraxella sp.,40207793,Infinity
(f)Streptococcaceae sp.,1113543,Infinity
(f)Aspergillaceae sp.,1359,Infinity
(o)Clostridiales sp.,425,16869
(f)Phaeosphaeriaceae sp.,347,Infinity
(p)Ascomycota sp.,805,Infinity
(f)Flavobacteriaceae sp.,1227426,Infinity
Ustilago nunavutica,1217,Infinity
Filobasidium magnum,427,Infinity
Sporobolomyces roseus,375,Infinity
Fusarium sp.,648,Infinity
Malassezia arunalokei,0,Infinity
Filobasidium chernovii-globisporum,400,Infinity
Cutibacterium acnes,28150,Infinity
(f)Lachnospiraceae sp.,Unknown,Unknown
Fusobacterium nucleatum,0,0
Pasteurella multocida,0,0
Boeremia exigua,1571,Infinity
(f)Ruminococcaceae sp.,207486,Infinity
(c)Fusobacteriia sp.,6590,Infinity
Fusarium poae,1138,Infinity
Sarocladium bactrocephalum-strictum,384,Infinity
Malassezia globosa,32,Infinity
(f)Micrococcaceae sp.,3954710,Infinity
Rothia nasimurium,161729,Infinity
(c)Clostridia sp.,53073,Infinity
Sarocladium strictum,1788,Infinity
(c)Coriobacteriia sp.,0,Infinity
(c)Bacteroidia sp.,56893,Infinity
Curvularia coicicola-inaequalis,1647,Infinity
Aspergillus penicillioides,58,Infinity
Streptococcus sp.,0,0
Neisseria sp.,798313,Infinity
Akkermansia sp.,Unknown,Unknown
Ascochyta medicaginicola,915,Infinity
Stemphylium vesicarium,395,Infinity
(f)Apiosporaceae sp.,312,Infinity
Malassezia sympodialis,0,Infinity
(o)Malasseziales sp.,5,Infinity
(p)*Saccharibacteria sp.,237280,Infinity
Pelistega sp.,0,124100
Mannheimia sp.,14493,64999
Pseudomonas aeruginosa,0,0
Pyrenophora grahamii,374,Infinity
Scopulariopsis sp.,1307,Infinity
Wallemia mellicola,104,Infinity
Actinomyces gaoshouyii,0,Infinity
(f)Corynebacteriaceae sp.,26512,Infinity
Acidovorax delafieldii-radicis,0,Infinity
Neoascochyta sp.,708,Infinity
(o)Helotiales sp.,299,Infinity
(c)Agaricomycetes sp.,33,Infinity
Curtobacterium flaccumfaciens,166356,Infinity
(c)Actinobacteria sp.,0,2885
Bergeyella sp.,395616,Infinity
Aerococcus urinaeequi-viridans,58343,Infinity
Phyllobacterium myrsinacearum,0,Infinity
(f)Mycosphaerellaceae sp.,174,Infinity
Cyniclomyces sp.,0,Infinity
Symmetrospora oryzicola,0,Infinity
Tilletiopsis sp.,0,Infinity
Dioszegia hungarica,69,Infinity
Vishniacozyma sp.,193,Infinity
Vishniacozyma globospora,0,Infinity
Corynebacterium mastitidis,92850,Infinity
Rhodococcus fascians,182002,Infinity
(o)Bacteroidales sp.,0,122
Fusobacterium gastrosuis,0,0
Sphingomonas aerolata,186440,Infinity
Cladosporium lignicola-sphaerospermum,161,Infinity
Penicillium sp.,165,Infinity
Saccharomyces cerevisiae,23,Infinity
(o)Hypocreales sp.,78,Infinity
Myrothecium sp.,0,Infinity
(f)Stachybotryaceae sp.,22,Infinity
(f)Psathyrellaceae sp.,43,Infinity
(f)Gossypium arboreum sp.,82570,Infinity
Massilia aurea,163263,Infinity
Cladosporium halotolerans-sphaerospermum,32,Infinity
Bipolaris bicolor-sorokiniana,12770,Infinity
Penicillium bialowiezense-biourgeianum,0,Infinity
Sarocladium summerbellii,997,Infinity
Rhodotorula babjevae-glutinis-graminis,0,Infinity
(p)Basidiomycota sp.,0,Infinity
Filobasidium chernovii,0,Infinity
Moesziomyces rugulosus,0,Infinity
Actinomyces sp.,8686,Infinity
Corynebacterium pseudogenitalium-tuberculostearicum,0,Infinity
(c)Flavobacteriia sp.,99047,Infinity
Glycine soja,19073,Infinity
Trifolium grandiflorum-repens,103766,Infinity
Staphylococcus aureus,0,Infinity
Staphylococcus xylosus,221916,Infinity
Parvimonas sp.,0,54985
Bordetella bronchiseptica-parapertussis-pertussis,2048006,Infinity
Campylobacter sp.,20770,Infinity
Stagonospora pseudovitensis,230,Infinity
Phaeosphaeria sp.,99,Infinity
Alternaria incomplexa,38,Infinity
Aspergillus subversicolor-sydowii-versicolor,0,Infinity
Talaromyces ramulosus,0,Infinity
Blumeria graminis,364,Infinity
(c)Leotiomycetes sp.,Unknown,Unknown
Cystofilobasidium macerans,26,Infinity
Filobasidium globisporum,44,Infinity
Bullera alba,11,Infinity
Dioszegia fristingensis,27,Infinity
Clavibacter michiganensis,171175,Infinity
Bacteroides fragilis,0,0
Porphyromonas cangingivalis,0,0
Gemella cuniculi,0,0
Staphylococcus cohnii,42533,Infinity
Staphylococcus epidermidis,0,Infinity
Staphylococcus saprophyticus,250114,Infinity
Parvimonas micra,0,0
Ralstonia detusculanense-pickettii,0,Infinity
(o)Pasteurellales sp.,0,Infinity
Haemophilus sp.,2336,Infinity
Aureobasidium proteae-pullulans,45,Infinity
Alternaria sesami,49,Infinity
Penicillium brevicompactum-kongii,81,Infinity
Plectosphaerella sp.,161,Infinity
Fusarium coronicola,256,Infinity
Arthrinium sp.,Unknown,Unknown
Schizophyllum commune,Unknown,Unknown
(f)Ceratobasidiaceae sp.,114,Infinity
(f)Corticiaceae sp.,0,Infinity
Symmetrospora symmetrica,Unknown,Unknown
Malassezia sp.,0,Infinity
Naganishia sp.,38,Infinity
Dioszegia sp.,0,Infinity
Vishniacozyma dimennae,0,Infinity
Corynebacterium maris,166360,Infinity
(f)Microbacteriaceae sp.,0,Infinity
Glutamicibacter arilaitensis,0,Infinity
Bacteroides pyogenes,0,0
Pinus wallichiana,32393,Infinity
Jeotgalicoccus sp.,51780,Infinity
Jeotgalicoccus psychrophilus,318153,Infinity
Staphylococcus equorum,13031,Infinity
Staphylococcus pettenkoferi,0,Infinity
Comamonas sp.,0,4948
Pelomonas saccharophila,0,Infinity
Acinetobacter sp.,3186,Infinity
Xanthomonas translucens,154970,Infinity
Dissoconium sp.,0,Infinity
(o)Dothideales sp.,0,Infinity
Leptosphaeria sclerotioides,0,Infinity
Alternaria malorum,298,Infinity
(o)Chaetothyriales sp.,0,Infinity
Aspergillus gracilis,13,Infinity
(c)Eurotiomycetes sp.,Unknown,Unknown
Botrytis caroliniana-cinerea,217,Infinity
(c)Saccharomycetes sp.,8,Infinity
Cyberlindnera jadinii,0,Infinity
Chaetomium sp.,33,Infinity
(o)Sordariales sp.,0,Infinity
Waitea sp.,0,Infinity
Stereum sp.,86,Infinity
(o)Entylomatales sp.,0,Infinity
Rhodotorula alborubescens-mucilaginosa,31,Infinity
Udeniomyces puniceus,38,Infinity
Wallemia canadensis,0,Infinity
Wallemia muriae,17,Infinity
Corynebacterium jeikeium,0,Infinity
Corynebacterium stationis,0,Infinity
(f)Mycobacteriaceae sp.,Unknown,Unknown
Frigoribacterium faeni,3613,Infinity
(o)Micrococcales sp.,0,Infinity
Bacteroides dorei,0,0
Bacteroides uniformis,0,0
Gemella morbillorum,0,0
Staphylococcus hominis,0,0
Fusobacterium sp.,0,0
Fusobacterium canifelinum,0,0
Fusobacterium hwasookii,0,0
(f)Leptotrichiaceae sp.,0,0
Bradyrhizobium embrapense-erythrophlei-viridifuturi,2763,Infinity
Methylobacterium adhaesivum-goesingense,22190,Infinity
(f)Mitochondria aestivum,10536,Infinity
Sphingomonas aurantiaca-faeni,22190,Infinity
Propionivibrio sp.,0,0
Campylobacter showae,0,0
Pseudomonas sp.,52470,Infinity
Pseudomonas coronafaciens,5980,Infinity
Dissoconium proteae,0,Infinity
Aureobasidium subglaciale,Unknown,Unknown
Periconia cookei,65,Infinity
Dematiopleospora rosicola,Unknown,Unknown
(f)Pleosporaceae sp.,0,Infinity
Torula herbarum,49,Infinity
Aspergillus halophilicus,18,Infinity
Aspergillus osmophilus,0,Infinity
(o)Eurotiales sp.,15,Infinity
Helgardia anguioides,0,Infinity
Debaryomyces prosopidis,0,Infinity
Candida sake,0,Infinity
Fusarium armeniacum-sporotrichioides,0,Infinity
Albifimbria verrucaria,9,Infinity
(f)Microascaceae sp.,184,Infinity
(f)Microascaceae asperula-fusca-niger,74,Infinity
(o)Microascales sp.,0,0
Microdochium sp.,0,Infinity
(o)Agaricales sp.,59,Infinity
Ceratobasidium sp.,30,Infinity
Thanatephorus cucumeris,25,Infinity
Peniophora cinerea,0,Infinity
Stereum complicatum,25,Infinity
Microstroma sp.,0,Infinity
Sampaiozyma vanillica,93,Infinity
(o)Cystofilobasidiales sp.,Unknown,Unknown
Filobasidium wieringae,Unknown,Unknown
Naganishia adeliensis,4,Infinity
Holtermanniella takashimae,70,Infinity
Vishniacozyma heimaeyensis,66,Infinity
(o)Tremellales sp.,0,Infinity
Ustilago avenae,8,Infinity
Wallemia sp.,0,Infinity
Wallemia sebi,25,Infinity
Corynebacterium glutamicum,22658,Infinity
Rathayibacter festucae-tritici,2345,Infinity
Bacteroides thetaiotaomicron,0,0
Porphyromonas gulae,0,0
Capnocytophaga stomatis,0,0
Chryseobacterium sp.,0,Infinity
Staphylococcus sciuri,0,Infinity
Staphylococcus succinus,3400,Infinity
Facklamia tabacinasalis,0,Infinity
Atopostipes sp.,0,Infinity
Streptococcus thermophilus,Unknown,Unknown
Papillibacter sp.,Unknown,Unknown
Subdoligranulum sp.,Unknown,Unknown
Veillonella dispar,0,0
Anaerococcus sp.,0,Infinity
Methylobacterium adhaesivum,4270,Infinity
Agrobacterium tumefaciens,2260,Infinity
Paracoccus carotinifaciens-haeundaensis-marcusii,94463,Infinity
Sphingobium hydrophobicum-xenophagum,0,Infinity
(c)Betaproteobacteria sp.,0,Infinity
Bilophila wadsworthia,0,0
Arcobacter suis,0,Infinity
(f)Helicobacteraceae sp.,0,Infinity
(o)Campylobacterales sp.,285546,Infinity
Pasteurella sp.,48996,Infinity
Ursidibacter sp.,0,Infinity
Stenotrophomonas maltophilia,0,0
Cladosporium cycadicola,0,Infinity
Cladosporium dominicanum,24,Infinity
Toxicocladosporium rubrigenum,0,Infinity
Mycosphaerella sp.,207,Infinity
Zymoseptoria halophila,0,Infinity
Aureobasidium melanogenum,74,Infinity
(c)Dothideomycetes sp.,18,Infinity
Didymella sp.,0,Infinity
(f)Didymellaceae sp.,0,Infinity
Periconia sp.,51,Infinity
Bipolaris austrostipae-cynodontis,0,Infinity
Torula sp.,Unknown,Unknown
Penicillium olsonii,14,Infinity
Penicillium steckii,14,Infinity
Articulospora sp.,34,Infinity
Rhynchosporium orthosporum,0,Infinity
Candida parapsilosis,13,Infinity
Candida tropicalis,18,Infinity
Hyphopichia pseudoburtonii,0,Infinity
Hanseniaspora sp.,Unknown,Unknown
Gibellulopsis sp.,Unknown,Unknown
Trichoderma bissettii-longibrachiatum,7,Infinity
Acremonium alternatum-egyptiacum-sclerotigenum,98,Infinity
Fusariella sp.,19,Infinity
Fusarium avenaceum-lateritium,0,Infinity
Fusarium avenaceum-tricinctum,93,Infinity
Fusarium flocciferum-tricinctum,12,Infinity
Sarocladium sp.,15,Infinity
Pithoascus sp.,0,0
Nigrospora oryzae,0,Infinity
Coprinus phaeopunctatus,Unknown,Unknown
Coprinopsis sp.,32,Infinity
Psilocybe inquilina,0,Infinity
(o)Auriculariales sp.,Unknown,Unknown
(o)Polyporales sp.,0,Infinity
Trametes cubensis,0,Infinity
Trametes versicolor,0,Infinity
Kondoa sorbi,Unknown,Unknown
Cystobasidium slooffiae,0,Infinity
(o)Erythrobasidiales sp.,0,Infinity
Exobasidium sp.,Unknown,Unknown
Sphacelotheca sp.,0,Infinity
Rhodotorula diobovata-glutinis-kratochvilovae,0,Infinity
Sporobolomyces sp.,13,Infinity
Sporobolomyces ruberrimus,5,Infinity
(c)Tremellomycetes sp.,0,Infinity
Wallemia tropicalis,56,Infinity
Mucor plumbeus,83,Infinity
Mucor plumbeus-racemosus,0,Infinity
(f)Actinomycetaceae sp.,Unknown,Unknown
(o)Actinomycetales sp.,0,0
Corynebacterium casei,Unknown,Unknown
Rhodococcus corynebacterioides,Unknown,Unknown
Kineococcus radiotolerans,Unknown,Unknown
Microbacterium oleivorans,Unknown,Unknown
Microbacterium testaceum,Unknown,Unknown
Pseudoclavibacter helvolus,Unknown,Unknown
Arthrobacter agilis,Unknown,Unknown
Micrococcus aloeverae-luteus,Unknown,Unknown
Nocardioides sp.,Unknown,Unknown
Pseudopropionibacterium propionicum,0,0
(o)Streptomycetales sp.,Unknown,Unknown
(o)Coriobacteriales sp.,Unknown,Unknown
(o)Eggerthellales sp.,Unknown,Unknown
Bacteroides sp.,0,0
Bacteroides sartorii,Unknown,Unknown
Porphyromonas sp.,0,0
(f)Populus euphratica euphratica-x,Unknown,Unknown
(c)Deinococci sp.,Unknown,Unknown
Salinicoccus kekensis,Unknown,Unknown
Staphylococcus capitis-caprae-saccharolyticus,Unknown,Unknown
Staphylococcus haemolyticus,0,0
Aerococcus urinaeequi,Unknown,Unknown
Granulicatella adiacens,0,0
(f)Carnobacteriaceae adiacens-enrichment,Unknown,Unknown
Lactobacillus johnsonii,Unknown,Unknown
Streptococcus ferus,Unknown,Unknown
Streptococcus intermedius,0,0
Lachnoanaerobaculum orale,Unknown,Unknown
Leptotrichia sp.,Unknown,Unknown
Brevundimonas bullata-diminuta-terrae,Unknown,Unknown
Brevundimonas naejangsanensis-olei,Unknown,Unknown
Devosia submarina,Unknown,Unknown
Rhizobium soli,Unknown,Unknown
(f)Rhodobacteraceae sp.,Unknown,Unknown
Paracocccus sp.,Unknown,Unknown
Rubellimicrobium mesophilum,Unknown,Unknown
Skermanella sp.,Unknown,Unknown
Pinus sp.,Unknown,Unknown
Sphingomonas paucimobilis,Unknown,Unknown
Alcaligenes faecalis,0,0
Enterobacter cloacae,Unknown,Unknown
Pantoea agglomerans,Unknown,Unknown
(c)Gammaproteobacteria sp.,Unknown,Unknown
Acinetobacter lwoffii,Unknown,Unknown
(f)Moraxellaceae sp.,Unknown,Unknown
Psychrobacter sp.,Unknown,Unknown
Pseudomonas panacis-yamanorum,Unknown,Unknown
Pseudomonas rhizosphaerae,Unknown,Unknown
Cladosporium aphidis,Unknown,Unknown
Cladosporium langeronii-psychrotolerans,0,0
Verrucocladosporium dirinae,Unknown,Unknown
Cercospora agavicola,Unknown,Unknown
(o)Capnodiales sp.,Unknown,Unknown
Catenulostroma sp.,Unknown,Unknown
Aureobasidium leucospermi-namibiae,Unknown,Unknown
(o)Microthyriales sp.,Unknown,Unknown
Didymella glomerata,Unknown,Unknown
Phoma aloes,Unknown,Unknown
Didymosphaeria futilis,Unknown,Unknown
Didymocyrtis cladoniicola,Unknown,Unknown
Sclerostagonospora sp.,Unknown,Unknown
Comoclathris spartii,Unknown,Unknown
Curvularia buchloes-spicifera-tsudae,Unknown,Unknown
Aspergillus baarnensis,Unknown,Unknown
Penicillium asturianum-oxalicum,Unknown,Unknown
Penicillium decumbens,Unknown,Unknown
Penicillium digitatum-tarraconense-terraconense,Unknown,Unknown
(f)Trichocomaceae sp.,Unknown,Unknown
(c)Laboulbeniomycetes sp.,Unknown,Unknown
Chalara sp.,Unknown,Unknown
Geomyces auratus,Unknown,Unknown
(f)Ascobolaceae sp.,Unknown,Unknown
(o)Pezizales sp.,Unknown,Unknown
Geotrichum bryndzae-candidum,Unknown,Unknown
Clavispora intermedia,Unknown,Unknown
(o)Saccharomycetales sp.,Unknown,Unknown
Lectera sp.,Unknown,Unknown
Acremonium sp.,Unknown,Unknown
Fusarium armeniacum,Unknown,Unknown
Fusarium equiseti,Unknown,Unknown
Paramyrothecium tellicola,Unknown,Unknown
(f)Microascaceae acremonium-pachypleura,Unknown,Unknown
Botryotrichum spirotrichum,Unknown,Unknown
(f)Chaetomiaceae sp.,Unknown,Unknown
(f)Lasiosphaeriaceae sp.,Unknown,Unknown
(f)Xylariaceae sp.,Unknown,Unknown
Psilocybe sp.,Unknown,Unknown
Waitea circinata,Unknown,Unknown
Sistotrema sp.,Unknown,Unknown
Xylodon nothofagi,Unknown,Unknown
(f)Fomitopsidaceae sp.,Unknown,Unknown
Coriolopsis trogii,Unknown,Unknown
(f)Polyporaceae sp.,Unknown,Unknown
Trametes hirsuta,Unknown,Unknown
Peniophora sp.,Unknown,Unknown
Peniophora incarnata,Unknown,Unknown
Stereum hirsutum,Unknown,Unknown
Stereum ostrea,Unknown,Unknown
Sterigmatomyces halophilus,Unknown,Unknown
(c)Cystobasidiomycetes sp.,Unknown,Unknown
Leucosporidium drummii-scottii,Unknown,Unknown
(c)Microbotryomycetes sp.,Unknown,Unknown
Mrakia psychrophila,Unknown,Unknown
Udeniomyces kanasensis,Unknown,Unknown
Naganishia albida,Unknown,Unknown
Hannaella sp.,Unknown,Unknown
Hannaella luteola,Unknown,Unknown
Papiliotrema fonsecae,Unknown,Unknown
Saitozyma paraflava,Unknown,Unknown
Trichosporon asahii,Unknown,Unknown
Urocystis tritici,Unknown,Unknown
(f)Ustilaginaceae sp.,Unknown,Unknown
(o)Wallemiales sp.,Unknown,Unknown
Mucor nanus-racemosus,Unknown,Unknown
Rhizopus oryzae,Unknown,Unknown
