id,C1,C2
(c)Bacilli sp.,578541733,Infinity
Actinobacillus capsulatus,996141936,Infinity
Bibersteinia sp.,1473598766,Infinity
(f)Streptococcaceae sp.,558146216,Infinity
(f)Neisseriaceae sp.,640399773,Infinity
(o)Lactobacillales sp.,282401533,Infinity
Bibersteinia trehalosi,750791440,Infinity
(f)Pasteurellaceae sp.,Unknown,Unknown
Actinobacillus sp.,1127549253,Infinity
Pelistega sp.,111224563,Infinity
Rothia nasimurium,98155820,Infinity
(o)Neisseriales sp.,102892680,Infinity
Actinomyces gaoshouyii,122565986,Infinity
Moraxella cuniculi,68297356,Infinity
Cladosporium sp.,6039,Infinity
Corynebacterium sp.,55360406,Infinity
Bergeyella sp.,71914193,Infinity
(f)Flavobacteriaceae sp.,72064720,Infinity
Aspergillus sp.,3085,Infinity
Haemophilus sp.,192606873,Infinity
Fusobacterium nucleatum,65698,3176481
Cyniclomyces guttulatus,252701,Infinity
(f)Micrococcaceae sp.,62607810,Infinity
Mannheimia sp.,101589910,Infinity
(k)Fungi sp.,23,168
Streptococcus ferus,80893390,Infinity
Parvimonas sp.,0,0
Malassezia globosa,68,Infinity
Malassezia restricta,266,Infinity
(o)Pleosporales sp.,364,Infinity
(f)Microbacteriaceae sp.,7197773,Infinity
(c)Malasseziomycetes sp.,291,Infinity
Veillonella dispar,334340,2838275
Streptococcus sp.,53804963,Infinity
Streptococcus intermedius,159017,1110884
Parvimonas micra,0,66939
(c)Fusobacteriia sp.,7721546,Infinity
Bilophila wadsworthia,0,0
(c)Epsilonproteobacteria sp.,103046466,Infinity
(p)*Saccharibacteria sp.,Unknown,Unknown
Alternaria sp.,927,Infinity
Vishniacozyma victoriae,240,Infinity
Actinomyces sp.,10122660,Infinity
(c)Erysipelotrichia sp.,64015910,Infinity
Veillonella rogosae,18964400,Infinity
Neisseria sp.,28759690,Infinity
Campylobacter showae,0,0
Pseudopropionibacterium propionicum,0,0
Gemella morbillorum,0,0
(p)*Gracilibacteria sp.,8187616,Infinity
Leucobacter sp.,17698783,Infinity
Cladosporium halotolerans-sphaerospermum,546,Infinity
(p)Ascomycota sp.,111,Infinity
(f)Corynebacteriaceae sp.,7612380,Infinity
(o)Flavobacteriales sp.,7460850,Infinity
Porphyromonas cangingivalis,0,0
Prevotella loescheii,0,30451
Ursidibacter sp.,25882093,Infinity
(o)Hypocreales sp.,139,Infinity
Sterigmatomyces halophilus,906,Infinity
Cutibacterium acnes,0,0
Tannerella sp.,0,0
(c)Bacteroidia sp.,276727693,Infinity
Moraxella sp.,824793,Infinity
(f)Aspergillaceae sp.,2395,Infinity
Sarocladium bactrocephalum-strictum,175,Infinity
Wallemia mellicola,441,Infinity
Bacteroides pyogenes,0,0
(c)Chitinophagia sp.,53206073,Infinity
Alopecurus japonicus,0,Infinity
(f)Family XIII sp.,0,0
Fusobacterium sp.,0,0
Actinobacillus minor,28893456,Infinity
(c)Sordariomycetes sp.,271,Infinity
(f)Apiosporaceae sp.,327,Infinity
(c)Agaricomycetes sp.,132,Infinity
Sporobolomyces roseus,99,Infinity
Filobasidium magnum,91,Infinity
(c)Actinobacteria sp.,2223663,Infinity
Gemella cuniculi,116161,789411
Lachnoclostridium bolteae,0,0
(o)Clostridiales sp.,630070080,Infinity
Fusobacterium hwasookii,0,0
Leptotrichia sp.,0,18492
Haemophilus parainfluenzae,0,2193
(o)Pseudomonadales sp.,2863153,Infinity
Malassezia arunalokei,34,Infinity
Vishniacozyma tephrensis,161,Infinity
Lachnoanaerobaculum orale,0,Infinity
(f)Lachnospiraceae sp.,Unknown,Unknown
(f)Ruminococcaceae sp.,Unknown,Unknown
(c)Clostridia sp.,210759170,Infinity
Leptotrichia goodfellowii,0,0
Mycoplasma sp.,29808310,Infinity
Ascochyta medicaginicola,146,Infinity
Fusarium sp.,186,Infinity
Porphyromonas gulae,0,0
Fusobacterium canifelinum,0,0
Ottowia sp.,2254556,Infinity
Helicobacter sp.,32900376,Infinity
Saccharomyces cerevisiae,63,Infinity
Moesziomyces rugulosus,119,Infinity
(f)Actinomycetaceae sp.,0,0
Bacteroides sp.,0,0
Bacteroides fragilis,0,19512
Tannerella forsythia,0,0
(f)Gossypium arboreum sp.,0,3
(f)Veillonellaceae sp.,0,0
(f)Comamonadaceae sp.,0,0
Propionivibrio sp.,0,0
Pasteurella multocida,0,0
Akkermansia sp.,81786316,Infinity
Alternaria malorum-obclavata,195,Infinity
Sarocladium strictum,53,Infinity
(f)Psathyrellaceae sp.,127,Infinity
Allobacillus halotolerans,Unknown,Unknown
Veillonella parvula,0,Infinity
Fusobacterium gastrosuis,51647,611532
Phyllobacterium myrsinacearum,Unknown,Unknown
Ralstonia detusculanense-pickettii,Unknown,Unknown
(c)Mollicutes sp.,8535473,Infinity
Cladosporium cycadicola,294,Infinity
Periconia cookei,183,Infinity
Pyrenophora grahamii,7,Infinity
Candida albicans,2541,Infinity
Candida parapsilosis,40,Infinity
Exobasidium sp.,392,Infinity
Bullera alba,46,Infinity
Actinomyces naeslundii,0,0
Bacteroides heparinolyticus,0,0
Capnocytophaga sputigena,0,0
(c)Flavobacteriia sp.,1386490,Infinity
(o)Tissierellales sp.,2273680,Infinity
Leptotrichia hongkongensis,0,0
Eikenella corrodens,0,0
Escherichia coli,0,0
(o)Pasteurellales sp.,13767330,Infinity
Aggregatibacter aphrophilus,0,3339
Pasteurella sp.,37066370,Infinity
Pseudomonas aeruginosa,0,0
Cladosporium lignicola-sphaerospermum,238,Infinity
Neoascochyta sp.,426,Infinity
Aspergillus penicillioides,141,Infinity
Plectosphaerella sp.,84,Infinity
(f)Stachybotryaceae sp.,57,Infinity
Schizophyllum commune,10,Infinity
Schaalia odontolytica,0,Infinity
Bacteroides stercorirosoris,0,0
Porphyromonas sp.,0,2570
Capnocytophaga sp.,0,0
Staphylococcus hominis,0,0
Staphylococcus saprophyticus,871552,Infinity
Granulicatella adiacens,7443403,Infinity
Catonella sp.,0,0
Johnsonella sp.,0,0
Peptoclostridium sp.,0,0
Solobacterium moorei,0,0
Pelomonas saccharophila,Unknown,Unknown
(c)Betaproteobacteria sp.,5723600,Infinity
Cardiobacterium sp.,0,Infinity
Pseudomonas sp.,0,0
Treponema socranskii,0,0
Aureobasidium proteae-pullulans,22,Infinity
Stemphylium vesicarium,165,Infinity
(o)Malasseziales sp.,26,Infinity
Sphacelotheca sp.,12,Infinity
Naganishia sp.,0,Infinity
Dioszegia hungarica,43,Infinity
Ustilago avenae,9,Infinity
Schaalia georgiae,0,0
Schaalia meyeri,0,0
(o)Actinomycetales sp.,0,0
Corynebacterium mastitidis,1789136,Infinity
(c)Coriobacteriia sp.,78166586,Infinity
Alloprevotella sp.,0,0
Prevotella melaninogenica,0,0
(f)Christensenellaceae sp.,8167876,Infinity
(f)Clostridiales Family XIII. Incertae Sedis infirmum,0,0
Leptotrichia trevisanii,0,0
Lautropia mirabilis,0,Infinity
Acidovorax delafieldii-radicis,Unknown,Unknown
Herbaspirillum magnetovibrio,Unknown,Unknown
Campylobacter sp.,0,0
Rodentibacter mrazii,0,0
Pseudomonas helleri,Unknown,Unknown
Treponema sp.,0,0
(c)Dothideomycetes sp.,Unknown,Unknown
(f)Phaeosphaeriaceae sp.,0,Infinity
Alternaria infectoria-rosae,211,Infinity
Curvularia sp.,645,Infinity
Aspergillus subversicolor-sydowii-versicolor,63,Infinity
Penicillium sp.,36,Infinity
Talaromyces ramulosus,17,Infinity
(c)Saccharomycetes sp.,Unknown,Unknown
Meyerozyma carpophila-guilliermondii,11,Infinity
Myrmecridium schulzeri,32,Infinity
(o)Agaricales sp.,101,Infinity
Xylodon nothofagi,0,Infinity
Tilletiopsis sp.,31,Infinity
(f)Cellulomonadaceae sp.,Unknown,Unknown
Bacteroides sartorii,12671986,Infinity
Bacteroides uniformis,16887326,Infinity
(f)Bacteroidaceae sp.,0,0
(o)Bacteroidales sp.,54656996,Infinity
Porphyromonas canoris,0,Infinity
Prevotella sp.,0,0
Capnocytophaga leadbetteri,0,0
Capnocytophaga ochracea,0,0
Staphylococcus epidermidis,0,0
Staphylococcus xylosus,0,Infinity
Catonella morbi,0,0
Johnsonella ignava,0,0
Subdoligranulum sp.,1796930,Infinity
(c)Negativicutes sp.,4328973,Infinity
(c)Tissierellia sp.,0,0
Leptotrichia buccalis,0,0
Brevundimonas intermedia-nasdae-vesicularis,Unknown,Unknown
Sphingomonas aerolata,0,0
Sphingomonas paucimobilis,Unknown,Unknown
Acidovorax temperans,Unknown,Unknown
Brachymonas sp.,0,0
Comamonas serinivorans,1256942,Infinity
Dechloromonas agitata,Unknown,Unknown
(c)Deltaproteobacteria sp.,5532840,Infinity
Campylobacter gracilis,0,0
(f)Campylobacteraceae sp.,4190140,Infinity
(f)Cardiobacteriaceae sp.,896103,Infinity
(o)Cardiobacteriales sp.,0,0
Glaesserella parasuis,1237986,Infinity
Haemophilus paracuniculus,46705953,Infinity
Acinetobacter johnsonii,Unknown,Unknown
Synergistes sp.,5318843,Infinity
Cladosporium sphaerospermum,218,Infinity
Aureobasidium melanogenum,16,Infinity
Phaeosphaeria sp.,26,Infinity
Alternaria incomplexa,0,Infinity
Alternaria sesami,23,Infinity
Bipolaris austrostipae-cynodontis,326,Infinity
Penicillium steckii,7,Infinity
Talaromyces radicus-sublevisporus-wortmannii,27,Infinity
Debaryomyces prosopidis,49,Infinity
Candida sake,10,Infinity
Trichoderma sp.,17,Infinity
Fusarium poae,0,Infinity
(f)Chaetomiaceae sp.,216,Infinity
Coprinopsis sp.,180,Infinity
Coriolopsis trogii,0,Infinity
Trametes hirsuta,0,Infinity
Filobasidium chernovii-globisporum,0,Infinity
Actinomyces gerencseriae,0,0
Actinomyces oris,0,0
Actinomyces timonensis,0,0
Corynebacterium auriscanis,Unknown,Unknown
Corynebacterium jeikeium,Unknown,Unknown
Micrococcus aloeverae-luteus,Unknown,Unknown
Rothia mucilaginosa,0,0
(o)Micrococcales sp.,Unknown,Unknown
(o)Propionibacteriales sp.,Unknown,Unknown
Propioniciclava sp.,0,0
Bacteroides dorei,Unknown,Unknown
Bacteroides eggerthii,Unknown,Unknown
Butyricimonas sp.,Unknown,Unknown
Butyricimonas virosa,Unknown,Unknown
Porphyromonas gingivalis,0,0
Alistipes onderdonkii,Unknown,Unknown
Parabacteroides distasonis,Unknown,Unknown
Capnocytophaga cynodegmi,0,0
Capnocytophaga gingivalis,0,0
Capnocytophaga stomatis,0,0
(f)Anaerolineaceae sp.,0,0
Brassica napus,0,0
(o)Bacillales sp.,0,0
Staphylococcus cohnii,Unknown,Unknown
Staphylococcus haemolyticus,0,0
Streptococcus gallolyticus-pasteurianus,Unknown,Unknown
Streptococcus mitis,0,0
Streptococcus mitis-oralis-pneumoniae,Unknown,Unknown
Streptococcus oralis,Unknown,Unknown
Streptococcus plurextorum,Unknown,Unknown
Hungatella hathewayi,0,0
Fastidiosipila sp.,0,0
Blautia sp.,0,0
Peptococcus sp.,0,0
Filifactor villosus,0,0
Peptostreptococcus canis,0,0
Peptostreptococcus stomatis,0,0
Papillibacter sp.,Unknown,Unknown
Selenomonas sp.,0,0
Selenomonas infelix,0,0
Fusobacterium hwasookii-nucleatum,0,0
Fusobacterium russii,0,0
(f)Leptotrichiaceae sp.,0,0
Bradyrhizobium embrapense-erythrophlei-viridifuturi,Unknown,Unknown
Comamonas sp.,0,0
Neisseria flavescens,0,0
(o)Myxococcales sp.,Unknown,Unknown
Campylobacter concisus,0,0
Proteus mirabilis,Unknown,Unknown
Actinobacillus indolicus,Unknown,Unknown
Mannheimia haemolytica,Unknown,Unknown
Pseudomonas stutzeri,Unknown,Unknown
Treponema denticola,0,0
Treponema maltophilum,0,0
Fretibacterium sp.,0,0
Akkermansia muciniphila,Unknown,Unknown
Toxicocladosporium rubrigenum,Unknown,Unknown
(o)Capnodiales sp.,Unknown,Unknown
Hortaea werneckii,Unknown,Unknown
Aureobasidium subglaciale,Unknown,Unknown
Didymosphaeria futilis,Unknown,Unknown
Curvularia coicicola-inaequalis,Unknown,Unknown
Aspergillus gracilis,Unknown,Unknown
Penicillium bialowiezense-biourgeianum,Unknown,Unknown
Penicillium brevicompactum-kongii,Unknown,Unknown
(o)Eurotiales sp.,Unknown,Unknown
(c)Eurotiomycetes sp.,Unknown,Unknown
(o)Helotiales sp.,Unknown,Unknown
Suhomyces xylopsoci,Unknown,Unknown
Clavispora intermedia,Unknown,Unknown
Hanseniaspora sp.,Unknown,Unknown
Lectera sp.,Unknown,Unknown
Fusariella sp.,Unknown,Unknown
Myxospora crassiseta,Unknown,Unknown
Scopulariopsis sp.,Unknown,Unknown
(o)Xylariales sp.,Unknown,Unknown
(f)Xylariaceae sp.,Unknown,Unknown
Coprinellus micaceus,Unknown,Unknown
Waitea sp.,Unknown,Unknown
Phanerochaete sp.,Unknown,Unknown
Trametes versicolor,Unknown,Unknown
Peniophora incarnata,Unknown,Unknown
Symmetrospora oryzicola,Unknown,Unknown
(o)Microstromatales sp.,Unknown,Unknown
Malassezia sp.,Unknown,Unknown
Malassezia cuniculi,Unknown,Unknown
Malassezia pachydermatis,Unknown,Unknown
Malassezia sympodialis,Unknown,Unknown
Leucosporidium creatinivorum,Unknown,Unknown
Colacogloea terpenoidalis,Unknown,Unknown
Rhodotorula alborubescens-mucilaginosa,Unknown,Unknown
Rhodotorula babjevae-glutinis-graminis,Unknown,Unknown
Filobasidium globisporum,Unknown,Unknown
Filobasidium wieringae,Unknown,Unknown
Naganishia albida,Unknown,Unknown
Holtermanniella takashimae,Unknown,Unknown
Dioszegia sp.,Unknown,Unknown
Dioszegia fristingensis,Unknown,Unknown
Hannaella luteola,Unknown,Unknown
Vishniacozyma sp.,Unknown,Unknown
Vishniacozyma globospora,Unknown,Unknown
(f)Ustilaginaceae sp.,Unknown,Unknown
Ustilago nunavutica,Unknown,Unknown
Wallemia sebi,Unknown,Unknown
Wallemia tropicalis,Unknown,Unknown
