id,C1,C2
Enterococcus faecalis,1254,27482
Nannizziopsis sp.,0,0
Stenotrophomonas maltophilia,0,0
Morganella morganii,25,207
Romboutsia sp.,6137180,Infinity
(o)Clostridiales sp.,17035856,Infinity
Pseudomonas aeruginosa,4344,24255
Clostridium sp.,244425,2444256
Kocuria indica,3279319,32793193
(c)Clostridia sp.,410339,Infinity
Cladosporium sp.,1108,Infinity
(k)Fungi sp.,195829,Infinity
Staphylococcus aureus,93,14251
Turicibacter sanguinis,9628,73669
Klebsiella oxytoca,1136,64707
Devriesea agamarum,132,1799
Cutibacterium acnes,2573,66965
Chryseobacterium sp.,0,0
Clostridium ventriculi,414216,Infinity
Staphylococcus epidermidis,12456,73948
(f)Lachnospiraceae sp.,15324670,Infinity
Citrobacter freundii,1780,114801
Micrococcus luteus,27764410,Infinity
(f)Eggerthellaceae sp.,740683,Infinity
Cellulosilyticum sp.,19413346,Infinity
Alternaria sp.,336,Infinity
Penicillium sp.,1017,Infinity
Staphylococcus saprophyticus,646,3093
Terrisporobacter mayombei,2622023,Infinity
(f)Ruminococcaceae sp.,2496106,Infinity
Salmonella enterica,8888,65886
Malassezia restricta,271,Infinity
(o)Bacteroidales sp.,417746,Infinity
Staphylococcus sciuri,110,11546
(c)Bacilli sp.,1696166,Infinity
Sarcina sp.,Unknown,Unknown
Pseudomonas sp.,38515,385153
Hyphopichia burtonii,15520,Infinity
Corynebacterium sp.,12244,122446
(f)Tannerellaceae sp.,362933,Infinity
Deinococcus wulumuqiensis,274018,2740186
Enterococcus sp.,0,0
Sphingobium limneticum,Unknown,Unknown
Klebsiella aerogenes,146,796
(f)Enterobacteriaceae aerogenes-ornithinolytica-planticola,1709,871317
Serratia marcescens,0,0
Aureobasidium proteae-pullulans,65,Infinity
Aspergillus sp.,7360,Infinity
Filobasidium magnum,12,Infinity
Kocuria sp.,37173,371733
Kocuria palustris,69663,Infinity
(o)Eggerthellales sp.,525883,Infinity
(c)Bacteroidia sp.,356269,Infinity
(o)Erysipelotrichales sp.,474386,Infinity
Bilophila wadsworthia,214796,Infinity
(c)Mollicutes sp.,703650,Infinity
(o)Pleosporales sp.,333,Infinity
(o)Chaetothyriales sp.,3,Infinity
(p)Ascomycota sp.,324,Infinity
(c)Agaricomycetes sp.,3,Infinity
Rhodotorula alborubescens-mucilaginosa,9,Infinity
Dermacoccus nishinomiyaensis,0,0
Bacteroides fragilis,6295,35743
Bacteroides thetaiotaomicron,11623,116236
Brassica napus,7532763,Infinity
