# Constructed from biom file
#OTU ID	NormalEar.1	NormalEar.2	NormalEar.4	NormalEar.5	NormalEar.6	NormalEar.7	NormalEar.8	NormalEar.9	NormalEar.10	NormalEar.11	NormalEar.12	NormalEar.13	NormalEar.14	NormalEar.15	NormalEar.16	NormalEar.17	NormalEar.19	NormalEar.21	NormalEar.22	NormalEar.26	NormalEar.27	NormalEar.28	NormalEar.29	NormalEar.30	NormalEar.31	NormalEar.32	NormalEar.33	NormalEar.34	NormalEar.36	NormalEar.37	NormalEar.38	NormalEar.39	NormalEar.40	NormalEar.42	NormalEar.45	NormalEar.46	NormalEar.47	NormalEar.48
None;Other;Other;Other;Other;Other;Other	0.0110517515599	0.00367892976589	0.0146896201321	0.00772551424797	0.000307800545247	0.000282596750137	0.00349634006114	0.0	0.00505457937328	0.0	0.000820670302324	0.00512553557842	0.00771288175655	0.00232655530222	0.000331112928986	0.011969424312	0.00333233029077	0.0	0.0164323896258	0.000185459940653	0.0251223943875	0.0554140127389	0.00751628199831	0.0	0.000146984152436	0.016654420769	0.0	0.00909114795449	0.000237911140189	0.0	0.0112227362855	0.00326041075353	0.00706967600469	0.0159205103596	0.000451617188019	0.00982404502795	0.0159826992719	0.00165404255878
k__Chromista;p__Ciliophora;c__NA;o__NA;f__NA;g__NA;s__Ciliophora_sp	0.0	0.0	0.00153919722646	0.00386865446311	0.0	0.0	0.0	0.0	0.0	0.0	0.000344152062265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0193879571231	0.0	0.0	0.0214171974522	0.382051433406	0.0	0.00995483577862	0.000353770375813	0.0	0.0	0.0	0.0	0.00198281559815	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Acrospermales;f__Acrospermaceae;g__Gonatophragmium;s__Gonatophragmium_triuniae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000680503572644	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__NA;s__Botryosphaeriaceae_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00812200537572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__NA;s__Botryosphaeriaceae_sp-Dothideomycetes_sp	0.000530157823906	0.0	0.0	0.0	0.0	0.0	0.0148547710084	0.0	0.0	0.0	0.0	0.0	0.0259003545438	0.0102368433298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00906316892107	0.185882445676	0.0	0.0	0.0	0.0	0.0202764860812	0.0	0.0492395563525	0.0	0.0338720616274	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Scorias;s__Scorias_leucadendri-Scorias_spongiosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195837318395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca;s__Fungi_sp-Phaeotheca_triangularis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121562514541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000301700493692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011593764571	0.0	0.0	0.0	0.0161874416164	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca;s__Phaeotheca_triangularis	0.0	0.00174390826565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087219956745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00864016110159	0.0	0.0	0.0	0.0	0.0	0.0	0.000630095900596	0.0	0.000146111443183	0.0	0.0411916004453	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Pseudotaeniolina;s__Pseudotaeniolina_globosa	0.0	0.000226946966077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Toxicocladosporium;s__Toxicocladosporium_leucadendri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00485086780513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000730911244691	0.0	0.0	0.0	0.0	0.0
