id,C1,C2
Staphylococcus schleiferi,1112.66666666667,19662.1666666667
Staphylococcus delphini-intermedius-pseudintermedius,60627.8,403806.6
Corynebacterium auriscanis,6969,151938.333333333
Finegoldia magna,1120.25,25412
Streptococcus canis,1329,49784.3333333333
Peptostreptococcus canis,1173.66666666667,12759.6666666667
Pseudomonas aeruginosa,249,5340
Arcanobacterium canis,182.333333333333,11578.6666666667
Streptococcus halichoeri,150.333333333333,1505.33333333333
Lawsonella clevelandensis,1671,29979.5
Corynebacterium jeikeium,449.25,29191.25
Porphyromonas cangingivalis,12306,98129
Anaerococcus sp.,605.25,15214.5
Bacteroides pyogenes,273.333333333333,2211
Enterococcus faecalis,679.5,48876.25
Proteus mirabilis,0,0
Peptoniphilus harei,94,8857
Trueperella bernardiae,0,0
(c)Actinobacteria sp.,9344,48614
Actinomyces sp.,Unknown,Unknown
Schaalia canis,1629.33333333333,29791
Fusobacterium nucleatum,430.6,3175.2
Corynebacterium sp.,2679.75,Infinity
Bacteroides fragilis,0,140.333333333333
(f)Peptoniphilaceae sp.,753,6200
Escherichia coli,465.857142857143,21938.4285714286
Staphylococcus lugdunensis,0,200.666666666667
Peptoniphilus sp.,112.75,2123
Helcococcus kunzii,0,0
Achromobacter anxifer-denitrificans,0,0
Campylobacter sp.,1428,37625.3333333333
Pasteurella canis,1195,11560.3333333333
(f)Corynebacteriaceae sp.,8547,Infinity
Anaerococcus prevotii,112.75,29695
Anaerococcus vaginalis,0,6941.33333333333
Parvimonas sp.,1676,Infinity
Fusobacterium canifelinum,244,30906
Fusobacterium sp.,4089.16666666667,35835.3333333333
Moraxella porci,2103.33333333333,12206
Elizabethkingia bruuniana-ursingii,0,0
Bacteroides denticanum,204.333333333333,842.333333333333
Bacteroides heparinolyticus,180,765.5
Porphyromonas gulae,32513.3333333333,Infinity
Alloprevotella sp.,Unknown,Unknown
Gemella palaticanis,1883,9346.66666666667
Staphylococcus capitis-caprae,435.833333333333,1773.5
Parvimonas micra,240.666666666667,2276.66666666667
(f)Actinomycetaceae sp.,2156.66666666667,21566.6666666667
Corynebacterium pseudodiphtheriticum,0,Infinity
(f)Defluviitaleaceae sp.,1483,14830
Pedomicrobium sp.,2670,Infinity
Reyranella massiliensis-soli,0,Infinity
Neisseria shayeganii,4127.33333333333,41273.3333333333
Serratia marcescens,19.5714285714286,195.714285714286
Haemophilus sp.,2171.16666666667,Infinity
Haemophilus haemoglobinophilus,378.666666666667,3786.66666666667
Mycoplasma canis,0,0
Actinomyces europaeus,0,0
Corynebacterium massiliense,0,Infinity
Dermabacter hominis,0,0
