Faecalibacterium sp.	20.13
Fusobacterium sp.	10.74
Holdemanella biformis	10.59
Prevotella copri	10.27
(f)Prevotellaceae sp.	8.98
Megamonas funiformis	6.89
Bacteroides plebeius	3.11
Lachnoclostridium sp.	3.06
Peptoclostridium sp.	2.54
(f)Erysipelotrichaceae sp.	2.39
Blautia hansenii	1.41
Blautia sp.	2.26
(f)Fusobacteriaceae sp.	2.23
Collinsella intestinalis	2.22
Anaerobiospirillum sp.	1.55
Blautia glucerasea	1.54
(f)Lachnospiraceae sp.	1.22
Bacteroides vulgatus	0.46
Sutterella stercoricanis	1
Helicobacter cinaedi	1.48
Lactobacillus ruminis	0.45
Fournierella massiliensis	0.72
Sutterella stercoricanis-wadsworthensis	0.57
Bacteroides coprocola	0.54
Collinsella aerofaciens	0.29
Erysipelatoclostridium sp.	0.45
Collinsella stercoris	0.4
(f)Ruminococcaceae sp.	0.39
(f)Coriobacteriaceae sp.	0.37
Bacteroides sp.	0.32
(o)Clostridiales sp.	0.31
Bifidobacterium longum	0.14
Sutterella wadsworthensis	0.18
(f)Clostridiaceae sp.	0.13
Allobaculum stercoricanis	0.12
Bacteroides stercoris	0.11
Collinsella phocaeensis	0.08
Slackia piriformis	0.07
Bifidobacterium pseudocatenulatum	0.02
Collinsella tanakaei	0.05
Allisonella sp.	0.05
