# Constructed from biom file
#OTU ID	Dash.Back	BB.Back	Sale.Back	Eva.Back	Serafina.Back	Benji.Back	Taylor.Back	Cody.Back	Charlie.Back	Shelly.Back	BuBu.Back	Ume.Back	Russell.Back	Evan.Back	Jake.Back	Bertie.Back	Travis.Back	Wally.Back	Mochi.Back	Sam.Back	Rey.Back	Mops.Back	Beren.Back	Olympus.Back	Mac.Back	Jett.Back	Mia	Buddy.Back	Neville.Back	Chuck.Alvarado.Back	Spike.Back	Traveler.Back	Ray.Back	Cody2.Back	Benny.Back	Tito.Back	Mia2.Back	Oreo.Back	Cooper.Back	Ralphie.Back	Bella.Back	Scout.Back	Snowy.Back	Friendly.Back	Daphne.Back	Cece.Back	Destro.Back	Tobi.Back	Baxter.Back	Brownie.Back	Desi.Luna.Back	Penny.Back	Ernie.Back	Fia.Back	Zoe.Back	Dash.Ear	BB.Ear	Sale.Ear	Eva.Ear	Serafina.Ear	Benji.Ear	Taylor.Ear	Cody.Ear	Charlie.Ear	Shelly.Ear	BuBu.Ear	Ume.Ear	Russell.Ear	Evan.Ear	Jake.Ear	Bertie.Ear	Travis.Ear	Wally.Ear	Mochi.Ear	Sam.Ear	Rey.Ear	Mops.Ear	Beren.Ear	Olympus.Ear	Mac.Ear	Jett.Ear	Mia.Ear	Buddy.Ear	Neville.Ear	Chuck.Alvarado.Ear	Spike.Ear	Traveler.Ear	Ray.Ear	Cody2.Ear	Benny.Ear	Tito.Ear	Mia2.Ear	Oreo.Ear	Cooper.Ear	Ralphie.Ear	Bella.Ear	Scout.Ear	Snowy.Ear	Friendly.Ear	Daphne.Ear	Cece.Ear	Destro.Ear	Tobi.Ear	Baxter.Ear	Brownie.Ear	Desi.Luna.Ear	Penny.Ear	Ernie.Ear	Fia.Ear	Zoe.Ear	Dash.Neck	BB.Neck	Sale.Neck	Eva.Neck	Serafina.Neck	Benji.Neck	Taylor.Neck	Cody.Neck	Charlie.Neck	Shelly.Neck	BuBu.Neck	Ume.Neck	Russell.Neck	Evan.Neck	Jake.Neck	Bertie.Neck	Travis.Neck	Wally.Neck	Mochi.Neck	Sam.Neck	Rey.Neck	Mops.Neck	Beren.Neck	Olympus.Neck	Mac.Neck	Jett.Neck	Mia.Neck	Buddy.Neck	Neville.Neck	Chuck.Alvarado.Neck	Spike.Neck	Traveler.Neck	Ray.Neck	Cody2.Neck	Benny.Neck	Tito.Neck	Mia2.Neck	Oreo.Neck	Cooper.Neck	Ralphie.Neck	Bella.Neck	Scout.Neck	Snowy.Neck	Friendly.Neck	Daphne.Neck	Cece.Neck	Destro.Neck	Tobi.Neck	Baxter.Neck	Brownie.Neck	Desi.Luna.Neck	Penny.Neck	Ernie.Neck	Fia.Neck	Zoe.Neck	Skin.1	Skin.2	Skin.3	Skin.4	Skin.5	Skin.6	Skin.7	Skin.8	Skin.9	Skin.10	Skin.11	Skin.12	Skin.13	Skin.14	Skin.15	Skin.16	Skin.17	Skin.18	Skin.19	Skin.20	Skin.21	Skin.22	Skin.23	Skin.24	Skin.25	Skin.26	Skin.27	Skin.28	Skin.29	Skin.30	Skin.31	Skin.32	Skin.33	Skin.34	Skin.35	Skin.36	Skin.37	Skin.38	Skin.39	Skin.40	Skin.41	Skin.42	Skin.43	Skin.44	Skin.45	Skin.46	Skin.47	Skin.48	Skin.49	Skin.50
None;Other;Other;Other;Other;Other;Other	0.00204927649589	0.000227389005742	0.000265957446809	0.00668159363116	0.0	0.0	0.0	0.00984524146662	0.365893063213	0.0	0.0	0.0253430411649	0.00503225421097	0.0	0.109886109522	0.0364081331612	0.00581766745757	0.271895144799	0.187391398784	0.0325984038956	0.00496422335581	0.00558961413631	0.00237920399471	0.00187435367115	0.00590948759506	0.000399483744085	0.0	0.0	0.997716894977	0.00292088745261	0.0101119537739	0.0	0.0165750076383	0.0519562011734	0.46392811668	0.997129832855	0.0849656329665	0.000277363658427	0.022360571726	0.0	0.00101528267607	0.0	0.0614853463157	0.00314783586284	0.000238555941368	0.0137089118965	0.0	0.00851698676185	0.00619817681288	0.0	0.0	0.0	0.0	0.0	0.0	0.00419605765746	0.000147273736561	0.0019343021962	0.0049025659113	0.00141702243619	0.135925429356	0.0154056480575	0.00622513456588	0.0220042283298	0.00481874447392	0.00632558139535	0.0216480446927	0.0	0.139752227777	0.067173335151	0.0440396955083	0.0	0.0267004278355	0.000256056966578	0.013857333634	0.00549427592546	0.0345972392102	0.0045767542491	0.00193029100047	0.20920417064	0.00595213911348	0.0	0.00778497888324	0.0147027990355	0.0111398963731	0.0298949511778	0.240247567471	0.0	0.0	0.965716486903	0.0	0.0259239509414	0.0243461803166	0.00158232020887	0.0	0.0	0.000499024633671	0.0401456142848	0.0272399378235	0.67503356706	0.0249925172104	0.0	0.0145031570003	0.0	0.0	0.00312703876178	0.0	0.0439710551576	0.0	6.67361407003e-05	0.00411627684355	0.0	0.000171457073384	0.0054627175291	0.00852463740275	0.000885011694797	0.0	0.00046191886531	0.0	0.00305600260393	0.00141008026611	0.00848656294201	0.00477693602694	0.100695529853	0.000530436055019	0.00154650170648	0.0	0.00427420680585	0.0544328815747	0.109883912206	0.00127475975682	0.0392904565728	0.996639958646	0.0153801036202	0.0	0.0	0.0	0.0	0.0	0.0	0.0455787802275	0.0	0.0	0.0	0.000309461794363	1.0	0.00314424774949	0.0389061845723	0.00135714842836	0.0	0.00322388059701	0.000403790883827	0.000609490639965	0.0798952027268	0.000886245470301	0.0	0.0	0.108206341694	0.000634907197731	0.0	0.0232725370988	0.0193942035302	0.0	0.0	0.00045543531459	0.00632562846979	0.0058672273444	0.0139766035121	0.0712612914018	0.0172321375395	0.0170693417061	0.00666156202144	0.0170090157078	0.0245064575003	0.0335409926344	0.0391316169243	0.018971027941	0.00524018967769	0.0396673476282	0.00368706719072	0.00197423781475	0.00632136658445	0.00165693219005	0.00778060406558	0.0	0.014945094188	0.0276873788045	0.013136176066	0.0245732069294	0.00575656185706	0.00386153907085	0.00195518378728	0.0	0.0	0.00142542644008	0.000293772032902	0.0192412477864	0.0162622330556	0.00650394062285	0.0195190601481	0.00291406167214	0.00269969146383	0.00864706927527	0.000383086721257	0.00498261877173	0.00274195938936	0.00911835120225	0.0138347011077	0.00186535881958	0.0235481862058	0.0371174481233	0.00965570117641	0.0058710395789	0.00257711521687	0.0
k__Chromista;p__Ciliophora;c__NA;o__NA;f__NA;g__NA;s__Ciliophora_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0127326783868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50988250955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000683079153539	0.0	0.0	0.00118155365488	0.0	0.0	0.0148547175971	0.0	0.00603805496829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00564306982999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0204278432685	0.00458597208711	0.0	0.0	0.00115252346872	0.00324616520612	0.000361396021202	0.0	0.000680482523972	0.0	0.00929753727862	0.0	0.0	0.0	0.0	0.0	0.0	0.000321399875011	0.0	0.0	0.00728561406034	0.0	0.000396055289318	0.0	0.0	0.0	0.0	0.0	0.0	0.000309237093899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000583839327417	0.0	0.000311474231497	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Verruconis;s__Ascomycota_sp-Verruconis_verruculosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00051082958725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__Botryosphaeria_corticis-Botryosphaeria_dothidea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000664078463425	0.000363808345763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__Botryosphaeria_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000269960180873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00190006394446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000318253035644	0.000851382645416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__Botryosphaeria_sp-Botryosphaeriales_sp-Dothideomycetes_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040820875768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00269291030161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia_corticola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0133335819782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia_cupressi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0191554913897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00270467691943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__NA;s__Botryosphaeriaceae_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173414462907	0.0	0.0	0.0	0.0	0.0	0.00097804825038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00377276037873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00578164720704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00678960108634	0.0	0.0	0.0	0.0	0.0	0.0143697941764	0.141844268295	0.0794308691618	0.0	0.0	0.180348119034	0.0	0.0	0.00343813429435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147294065475	0.0	0.000459746628525	0.000763997526103	0.0	0.0	0.0	0.0128128213918	0.0	0.0	0.0	0.0	0.0	0.0	0.03095657277	0.0344270590067	0.0	0.0	0.0	0.0	0.0
