id,C1,C2
(c)Actinobacteria sp.,2614,275055
Cutibacterium acnes,169173,Infinity
Staphylococcus epidermidis,22075,Infinity
(o)Bacteroidales sp.,Unknown,Unknown
(c)Bacilli sp.,87870,Infinity
Cladosporium sp.,65,651
(c)Bacteroidia sp.,4975,49756
(c)Clostridia sp.,20873,Infinity
Malassezia restricta,478,Infinity
Corynebacterium pseudogenitalium-tuberculostearicum,73363,Infinity
(o)Clostridiales sp.,1969,19690
(o)Flavobacteriales sp.,18843,Infinity
(f)Pasteurellaceae sp.,Unknown,Unknown
Pasteurella multocida,476,308123
Conchiformibius sp.,Unknown,Unknown
(o)Pasteurellales sp.,25060,Infinity
(k)Fungi sp.,1709,Infinity
(f)Flavobacteriaceae sp.,53346,Infinity
Moraxella sp.,107786,Infinity
Porphyromonas cangingivalis,8251,82510
(o)Lactobacillales sp.,3589,Infinity
Pseudomonas sp.,58396,Infinity
Alloprevotella sp.,26026,Infinity
Bergeyella zoohelcum,5478,Infinity
Staphylococcus hominis,116550,Infinity
(c)Erysipelotrichia sp.,49366,Infinity
Fusobacterium sp.,Unknown,Unknown
(o)Burkholderiales sp.,3167,Infinity
Malassezia globosa,36,Infinity
(p)*Saccharibacteria sp.,23653,Infinity
(f)Fusobacteriaceae sp.,2906,Infinity
(f)Neisseriaceae sp.,54606,Infinity
(f)Actinomycetaceae sp.,2146,Infinity
Corynebacterium sp.,1080,Infinity
Porphyromonas gulae,1624,16243
Streptococcus mitis,17075,Infinity
Actinomyces sp.,2248,Infinity
Porphyromonas canoris,38373,Infinity
Capnocytophaga stomatis,24183,Infinity
Jeotgalicoccus sp.,81760,Infinity
(f)Burkholderiaceae sp.,9540,Infinity
Bacteroides sp.,Unknown,Unknown
Porphyromonas sp.,Unknown,Unknown
Porphyromonas circumdentaria,2075,20753
(f)Gossypium arboreum sp.,43376,Infinity
(f)Defluviitaleaceae sp.,452,10304
(f)Peptoniphilaceae sp.,1087,Infinity
Staphylococcus pettenkoferi,60610,Infinity
Finegoldia magna,270,59982
Cladosporium lignicola-sphaerospermum,215,Infinity
Corynebacterium jeikeium,2715,133422908
(o)Bacillales sp.,121613,Infinity
Staphylococcus equorum,9598,Infinity
Staphylococcus felis,1480,40270
(f)Lachnospiraceae sp.,3895,Infinity
Paraburkholderia fungorum,2398,Infinity
Ralstonia detusculanense-pickettii,22200,Infinity
(o)Neisseriales sp.,21300,Infinity
(f)Xanthomonadaceae sp.,24478,Infinity
Flavobacterium sp.,29696,Infinity
Acinetobacter johnsonii,21247,Infinity
(p)*Gracilibacteria sp.,11016,Infinity
Rothia mucilaginosa,16970,Infinity
Yaniella halotolerans,115103,Infinity
Nocardioides sp.,9056,Infinity
(f)Bacillaceae sp.,193096,Infinity
Staphylococcus capitis-caprae,6558,Infinity
(k)Bacteria sp.,16373,Infinity
Campylobacter sp.,979,9793
Alternaria sp.,1162,Infinity
Corynebacterium massiliense,11276,Infinity
(f)Corynebacteriaceae sp.,3555,Infinity
Lawsonella clevelandensis,1325,13255
(f)Nocardioidaceae sp.,42713,Infinity
Cutibacterium granulosum,14380,Infinity
(f)Porphyromonadaceae sp.,6633,Infinity
Gemella haemolysans,27750,Infinity
Staphylococcus simulans,61888,Infinity
Lactococcus lactis,7653,Infinity
Proteocatella sp.,Unknown,Unknown
Neisseria shayeganii,5266,Infinity
(o)Pseudomonadales sp.,88593,Infinity
(o)Actinomycetales sp.,6470,Infinity
Blastococcus aggregatus,8660,Infinity
Nageia nagi,74420,Infinity
Jeotgalicoccus halotolerans,20003,Infinity
Streptococcus salivarius,5173,Infinity
(f)Christensenellaceae sp.,37590,Infinity
Holdemanella biformis,5856,Infinity
Anaerococcus sp.,1280,Infinity
Streptobacillus felis,3686,Infinity
Mannheimia sp.,6210,Infinity
Malassezia arunalokei,225,Infinity
(c)Flavobacteriia sp.,4526,Infinity
(c)Negativicutes sp.,4610,Infinity
(o)Tissierellales sp.,6943,Infinity
(c)Fusobacteriia sp.,15436,Infinity
Paracoccus sp.,155160,Infinity
(c)Betaproteobacteria sp.,887843,Infinity
Haemophilus parainfluenzae,29521,Infinity
Psychrobacter pulmonis,30926,Infinity
Penicillium sp.,234,Infinity
Kocuria sp.,63466,Infinity
Micrococcus luteus,106905,Infinity
Collinsella aerofaciens,10372,Infinity
(c)Thermomicrobia sp.,46673,Infinity
Cladosporium dominicanum,348,Infinity
Aureobasidium proteae-pullulans,411,Infinity
Ornithinimicrobium sp.,181146,Infinity
Kocuria rosea,17056,Infinity
(c)Chitinophagia sp.,153,3162
(f)Peptococcaceae sp.,348,3483
Catenibacterium mitsuokai,53360,Infinity
(c)Gemmatimonadetes sp.,24746,Infinity
Paracoccus aquimaris,25143,Infinity
Brachymonas sp.,6000,Infinity
Georgenia sp.,52406,Infinity
(o)Micrococcales sp.,52956,Infinity
(f)Prevotellaceae sp.,35340,Infinity
Capnocytophaga canimorsus,1116,Infinity
(o)Chlorobiales sp.,31190,Infinity
Sporosarcina sp.,Unknown,Unknown
Staphylococcus pasteuri-warneri,3563,Infinity
(f)Streptococcaceae sp.,21980,Infinity
Streptococcus infantis,7216,Infinity
Streptococcus oralis,48215,Infinity
Streptococcus sanguinis,50882,Infinity
Romboutsia timonensis,26406,Infinity
Neisseria zoodegmatis,16265,Infinity
Cardiobacterium sp.,6383,Infinity
(c)Gammaproteobacteria sp.,6466,Infinity
Moraxella osloensis,3845,Infinity
Filobasidium magnum,43,Infinity
(o)Acidimicrobiales sp.,13856,Infinity
Microbacterium sp.,12613,Infinity
(f)Microbacteriaceae sp.,Unknown,Unknown
(f)Bacteroidaceae sp.,4550,Infinity
(f)Hymenobacteraceae sp.,4800,Infinity
(f)Planococcaceae sp.,Unknown,Unknown
Planococcus sp.,10733,Infinity
Clostridium perfringens,2685,Infinity
Catonella sp.,Unknown,Unknown
Peptoclostridium sp.,11883,Infinity
(c)Alphaproteobacteria sp.,4926,Infinity
Wolinella succinogenes,7260,Infinity
Acinetobacter sp.,9436,Infinity
Pseudomonas aeruginosa,40,326
(o)Pleosporales sp.,80,Infinity
Aspergillus penicillioides,45,Infinity
Penicillium digitatum-tarraconense-terraconense,432,Infinity
(p)Ascomycota sp.,12,125
Saccharomyces cerevisiae,30,Infinity
Brachybacterium sp.,26730,Infinity
Glutamicibacter sp.,9460,Infinity
Kocuria palustris,7246,Infinity
(f)Micrococcaceae sp.,102203,Infinity
(f)Propionibacteriaceae sp.,82596,Infinity
Tannerella sp.,4670,Infinity
(o)Cytophagales sp.,5870,Infinity
(f)Carnobacteriaceae sp.,6773,Infinity
Streptococcus gordonii,55145,Infinity
Streptococcus sp.,38476,Infinity
Blautia sp.,11920,Infinity
(f)Peptostreptococcaceae sp.,Unknown,Unknown
(f)Erysipelotrichaceae sp.,35700,Infinity
Actinobacillus sp.,6003,Infinity
Bibersteinia sp.,23940,Infinity
(f)Moraxellaceae sp.,12083,Infinity
Arenimonas sp.,4793,Infinity
Actinomyces weissii,3903,Infinity
Corynebacterium afermentans-ihumii,3583,Infinity
Corynebacterium felinum,4156,Infinity
Corynebacterium kroppenstedtii,42523,Infinity
Geodermatophilus poikilotrophus,6053,Infinity
Brachybacterium arcticum,24746,Infinity
(f)Intrasporangiaceae sp.,34890,Infinity
(o)Propionibacteriales sp.,26090,Infinity
Marmoricola pocheonensis,13340,Infinity
(f)Coriobacteriaceae sp.,8413,Infinity
(f)Euzebyaceae sp.,3070,Infinity
Bacteroides pyogenes,58,2541
(f)Populus euphratica euphratica-x,96236,Infinity
Staphylococcus cohnii,10290,Infinity
Streptococcus mitis-oralis-pneumoniae,19327,Infinity
Peptostreptococcus canis,277,917877
Fusobacterium russii,459,Infinity
Paracocccus sp.,Unknown,Unknown
Comamonas sp.,Unknown,Unknown
Acinetobacter lwoffii,1593,Infinity
Psychrobacter alimentarius,5938,Infinity
Treponema sp.,Unknown,Unknown
Cladosporium halotolerans-sphaerospermum,113,Infinity
(f)Aspergillaceae sp.,146,Infinity
Corynebacterium efficiens,6040,Infinity
(f)Kineosporiaceae sp.,19676,Infinity
Brachybacterium conglomeratum-paraconglomeratum,8703,Infinity
Ornithinimicrobium pekingense,33900,Infinity
Arthrobacter rhombi,9896,Infinity
Enteractinococcus lamae,16580,Infinity
Micrococcus aloeverae-luteus,9305,Infinity
Propioniciclava sp.,15056,Infinity
(f)Chitinophagaceae sp.,10860,Infinity
Alopecurus japonicus,220100,Infinity
Sporosarcina pasteurii,41763,Infinity
Staphylococcus aureus,58,585
Staphylococcus saprophyticus,11404,Infinity
Filifactor villosus,722,Infinity
Brevundimonas intermedia-nasdae-vesicularis,7565,Infinity
(f)Rhodobacteraceae sp.,40113,Infinity
Cladosporium aphidis,82,Infinity
Cladosporium langeronii-psychrotolerans,71,Infinity
Aspergillus sp.,17,Infinity
Penicillium brevicompactum-kongii,39,Infinity
Debaryomyces prosopidis,279,Infinity
Georgenia satyanarayanai,38110,Infinity
(f)Bogoriellaceae sp.,18843,Infinity
Leucobacter sp.,6676,Infinity
Rothia dentocariosa,14786,Infinity
Collinsella intestinalis,7566,Infinity
(o)Solirubrobacterales sp.,3796,Infinity
Prevotella copri,6870,Infinity
Capnocytophaga sp.,3163,Infinity
Chryseobacterium sp.,3680,Infinity
Chryseobacterium solincola,25486,Infinity
(f)Anaerolineaceae sp.,3453,Infinity
(f)Deinococcaceae sp.,11306,Infinity
Macrococcus sp.,11016,Infinity
Granulicatella elegans,2896,Infinity
Streptococcus equinus-infantarius-lutetiensis,5938,Infinity
Blautia hansenii,3200,Infinity
Intestinibacter sp.,18310,Infinity
(f)Ruminococcaceae sp.,1880,Infinity
Turicibacter sanguinis,13496,Infinity
Fusobacterium gastrosuis,16466,Infinity
(o)Fusobacteriales sp.,7350,Infinity
Sphingomonas sp.,6903,Infinity
(o)Cardiobacteriales sp.,2300,Infinity
Psychrobacter arenosus,44296,Infinity
Stenotrophomonas maltophilia,3515,Infinity
(f)Spirochaetaceae sp.,250,Infinity
Vishniacozyma victoriae,4,42
Gleimia sp.,291,2910
Corynebacterium durum,2450,Infinity
Corynebacterium lactis,10436,Infinity
Corynebacterium minutissimum-ulcerans,11130,Infinity
Agrococcus baldri,5123,Infinity
Glutamicibacter arilaitensis,5363,Infinity
Friedmanniella sp.,2973,Infinity
Cutibacterium humerusii,17506,Infinity
Tessaracoccus sp.,4056,Infinity
(c)Chloroplast sp.,6446,Infinity
Pinus wallichiana,195463,Infinity
Deinococcus radiopugnans,16170,Infinity
Bacillus sp.,4056,Infinity
Sporosarcina ureae,1762,Infinity
Jeotgalicoccus psychrophilus,2323,Infinity
Macrococcus canis,10292,Infinity
Staphylococcus delphini-intermedius-pseudintermedius,174,1740
Jeotgalibaca dankookensis,16201,Infinity
