id,C1,C2
Cutibacterium acnes,550470,Infinity
(c)Bacilli sp.,1025,37285
(o)Clostridiales sp.,425,5642
Pseudomonas sp.,10663,Infinity
(o)Bacteroidales sp.,3467,34670
Cladosporium sp.,29,298
Paraburkholderia fungorum,3776,Infinity
Malassezia globosa,56,Infinity
Malassezia restricta,40,408
Corynebacterium pseudogenitalium-tuberculostearicum,4236,Infinity
(f)Pasteurellaceae sp.,Unknown,Unknown
Staphylococcus epidermidis,5267,Infinity
Pasteurella multocida,154,2363
Staphylococcus hominis,5783,Infinity
(c)Actinobacteria sp.,1334,13340
(f)Actinomycetaceae sp.,735,5536
(f)Peptoniphilaceae sp.,1267,12673
(k)Fungi sp.,9220,Infinity
(c)Bacteroidia sp.,4966,Infinity
Staphylococcus felis,0,0
(o)Lactobacillales sp.,1092,10923
(f)Lachnospiraceae sp.,Unknown,Unknown
(c)Clostridia sp.,1384,13846
Finegoldia magna,292,5834
(o)Pasteurellales sp.,15733,Infinity
Pseudomonas aeruginosa,73,3546
Porphyromonas sp.,21889,Infinity
(o)Flavobacteriales sp.,11443,Infinity
(c)Erysipelotrichia sp.,2112,21120
Ralstonia detusculanense-pickettii,24930,Infinity
Lawsonella clevelandensis,50215,Infinity
Alloprevotella sp.,Unknown,Unknown
Moraxella sp.,136463,Infinity
Corynebacterium sp.,17573,Infinity
Cutibacterium granulosum,12430,Infinity
Porphyromonas cangingivalis,2054,20540
(f)Flavobacteriaceae sp.,95450,Infinity
Streptococcus mitis,16310,Infinity
(f)Fusobacteriaceae sp.,18306,Infinity
Cladosporium dominicanum,13,Infinity
(f)Porphyromonadaceae sp.,11766,Infinity
Porphyromonas gulae,35416,Infinity
Bergeyella zoohelcum,36873,Infinity
(f)Gossypium arboreum sp.,13606,Infinity
Staphylococcus aureus,203,1637
(f)Defluviitaleaceae sp.,11320,Infinity
(k)Bacteria sp.,14280,Infinity
(o)Hypocreales sp.,Unknown,Unknown
Actinomyces sp.,7636,Infinity
Bacteroides vulgatus,29,378
Filifactor villosus,295,5532
Fusobacterium sp.,28387,Infinity
