id,C1,C2
Cladosporium sp.,25311,Infinity
(f)Neisseriaceae sp.,154510,Infinity
Alopecurus japonicus,1069746,Infinity
(f)Pasteurellaceae sp.,Unknown,Unknown
(o)Clostridiales sp.,Unknown,Unknown
(c)Bacilli sp.,99516,Infinity
Corynebacterium sp.,205353,Infinity
(o)Lactobacillales sp.,301343,Infinity
(f)Streptococcaceae sp.,165176,Infinity
(f)Ruminococcaceae sp.,Unknown,Unknown
Cutibacterium acnes,2928,63941
(c)Clostridia sp.,587283,Infinity
Moraxella cuniculi,202436,Infinity
(k)Fungi sp.,4299,Infinity
(f)Lachnospiraceae sp.,Unknown,Unknown
(o)Neisseriales sp.,52120,Infinity
Bibersteinia trehalosi,30845,Infinity
Vishniacozyma victoriae,2704,Infinity
(c)Bacteroidia sp.,5937,398914
Actinobacillus capsulatus,98030,Infinity
Bibersteinia sp.,6659,66590
Alternaria sp.,6378,Infinity
Trifolium grandiflorum-repens,790373,Infinity
Pelistega sp.,1417,1211364
Helicobacter sp.,15293,Infinity
Actinobacillus sp.,6038,60386
Rothia nasimurium,63976,Infinity
(c)Erysipelotrichia sp.,68306,Infinity
(o)Pleosporales sp.,1083,Infinity
Sphingomonas aerolata,76603,Infinity
Jeotgalicoccus sp.,684460,Infinity
Akkermansia sp.,122683,Infinity
(c)Malasseziomycetes sp.,338423,Infinity
Pseudomonas sp.,40353,Infinity
Corynebacterium mastitidis,4281963,Infinity
(f)Flavobacteriaceae sp.,11603,Infinity
(f)Mitochondria aestivum,21276,Infinity
Jeotgalicoccus psychrophilus,965046,Infinity
(f)Corynebacteriaceae sp.,95641830,Infinity
Glycine soja,46100,Infinity
Staphylococcus epidermidis,11867928,Infinity
Acinetobacter johnsonii,20460,Infinity
Curtobacterium flaccumfaciens,19640,Infinity
(c)Coriobacteriia sp.,152776,Infinity
(o)Bacteroidales sp.,Unknown,Unknown
(f)Gossypium arboreum sp.,36610,Infinity
Massilia aurea,26726,Infinity
Staphylococcus aureus,0,350378
Aspergillus sp.,1410,Infinity
Aerococcus urinaeequi-viridans,228972,Infinity
Acidovorax delafieldii-radicis,18880,Infinity
Pseudomonas aeruginosa,91,16131
Malassezia restricta,156,Infinity
Rhodococcus fascians,7252,Infinity
Frigoribacterium faeni,17700,Infinity
Phyllobacterium myrsinacearum,27166,Infinity
Pelomonas saccharophila,9483,Infinity
(f)Campylobacteraceae sp.,8653,Infinity
(c)Actinobacteria sp.,358,11933
Fusobacterium nucleatum,0,204279
Staphylococcus hominis,33210,Infinity
Ralstonia detusculanense-pickettii,17313,Infinity
Staphylococcus xylosus,117946,Infinity
(o)Pseudomonadales sp.,21173,Infinity
(c)Mollicutes sp.,Unknown,Unknown
(p)Ascomycota sp.,2358,Infinity
(p)*Saccharibacteria sp.,13146,Infinity
Lawsonella clevelandensis,120,8798
(f)Micrococcaceae sp.,30903,Infinity
(o)Corynebacteriales sp.,1239325,12393256
Chryseobacterium sp.,14366,Infinity
Malassezia arunalokei,0,Infinity
Clavibacter michiganensis,13775,Infinity
Sphingomonas aurantiaca-faeni,16386,Infinity
Mannheimia sp.,231,4308
Corynebacterium stationis,262754,Infinity
Acinetobacter sp.,152800,Infinity
Acinetobacter lwoffii,14161,Infinity
Cyniclomyces guttulatus,2889,Infinity
Glutamicibacter arilaitensis,47676,Infinity
Staphylococcus saprophyticus,13098,Infinity
(f)Phaeosphaeriaceae sp.,250,Infinity
(f)Nocardioidaceae sp.,Unknown,Unknown
Nocardioides sp.,6843,Infinity
(o)Bacillales sp.,66673,Infinity
Methylobacterium adhaesivum,9353,Infinity
Filobasidium magnum,330,Infinity
(o)Propionibacteriales sp.,6100,Infinity
(o)Flavobacteriales sp.,17580,Infinity
Facklamia tabacinasalis,199623,Infinity
Sphingobium hydrophobicum-xenophagum,5310,Infinity
Porphyromonas cangingivalis,0,61856
Flavobacterium sp.,Unknown,Unknown
Atopostipes sp.,Unknown,Unknown
(c)Sordariomycetes sp.,1456,Infinity
Corynebacterium pseudogenitalium-tuberculostearicum,7040,Infinity
(f)Microbacteriaceae sp.,22376,Infinity
Bacteroides uniformis,20310,Infinity
(c)Chitinophagia sp.,3906,Infinity
(f)Hymenobacteraceae sp.,13076,Infinity
Bergeyella sp.,4823,Infinity
(c)Flavobacteriia sp.,4320,Infinity
Sphingomonas sp.,Unknown,Unknown
Rhodococcus corynebacterioides,5020,Infinity
Staphylococcus pettenkoferi,215873,Infinity
Parvimonas sp.,31,1185
(f)Mitochondria angustifolius-arietinum,13943,Infinity
Fusarium sp.,510,Infinity
Sporobolomyces roseus,537,Infinity
Vishniacozyma sp.,276,Infinity
Vishniacozyma tephrensis,904,Infinity
Pedobacter sp.,3510,Infinity
(c)Chloroplast sp.,8086,Infinity
Bacillus sp.,7346,Infinity
(c)Epsilonproteobacteria sp.,8896,Infinity
Pseudomonas coronafaciens,33923,Infinity
Pseudomonas stutzeri,2507,Infinity
Xanthomonas translucens,7170,Infinity
